id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,difficulty,response
27798484,Obsessive/Compulsive Disorders,Diagnostic,Which specific executive function deficits are observed in individuals with personality disorders compared to controls?,Sensory processing,Physical endurance,Speech perception,Decision-making,Decision-making,4,Medium,"ID: 1  
Question: Which biochemical metabolite ratios are significantly associated with distinguishing bipolar disorder patients with suicidal ideation from those without?  
Difficulty: Hard  

ID: 2  
Question: Which brain area is suggested to be involved in the difficulty to control compulsions associated with OCD?  
Difficulty: Medium  

ID: 3  
Question: Which personality traits were identified as significant predictors of response to sodium valproate in patients with psychotic mania?  
Difficulty: Medium  

ID: 4  
Question: How does weight-based peer discrimination in early adolescence relate to emotional outcomes later on?  
Difficulty: Medium  

ID: 5  
Question: What factor was associated with symptom improvement in patients without contamination-related obsessive-compulsive disorder during the early months of the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: What factors are identified as predictors of household food insecurity in women during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 7  
Question: Which specific executive function deficits are observed in individuals with personality disorders compared to controls?  
Difficulty: Medium  

ID: 8  
Question: What demographic characteristic is significantly associated with an increased risk of nonsuicidal self-injury among transgender and gender-expansive youth?  
Difficulty: Easy  

ID: 9  
Question: What pattern of distribution was identified for the age at disorder onset in patients with obsessive-compulsive disorder?  
Difficulty: Medium  

ID: 10  
Question: What psychological trait was studied for its potential impact on the relationship between cognitive functioning and obsessive-compulsive symptoms in older adults?  
Difficulty: Medium  "
33644321,Trauma,Diagnostic,What demographic characteristic is significantly associated with an increased risk of nonsuicidal self-injury among transgender and gender-expansive youth?,Female assigned sex at birth,History of substance use,Age below 18,Rural residency,Female assigned sex at birth,1,Easy,"ID: 1  
Question: Which biochemical metabolite ratios are significantly associated with distinguishing bipolar disorder patients with suicidal ideation from those without?  
Difficulty: Hard  

ID: 2  
Question: Which brain area is suggested to be involved in the difficulty to control compulsions associated with OCD?  
Difficulty: Medium  

ID: 3  
Question: Which personality traits were identified as significant predictors of response to sodium valproate in patients with psychotic mania?  
Difficulty: Medium  

ID: 4  
Question: How does weight-based peer discrimination in early adolescence relate to emotional outcomes later on?  
Difficulty: Medium  

ID: 5  
Question: What factor was associated with symptom improvement in patients without contamination-related obsessive-compulsive disorder during the early months of the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: What factors are identified as predictors of household food insecurity in women during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 7  
Question: Which specific executive function deficits are observed in individuals with personality disorders compared to controls?  
Difficulty: Medium  

ID: 8  
Question: What demographic characteristic is significantly associated with an increased risk of nonsuicidal self-injury among transgender and gender-expansive youth?  
Difficulty: Easy  

ID: 9  
Question: What pattern of distribution was identified for the age at disorder onset in patients with obsessive-compulsive disorder?  
Difficulty: Medium  

ID: 10  
Question: What psychological trait was studied for its potential impact on the relationship between cognitive functioning and obsessive-compulsive symptoms in older adults?  
Difficulty: Medium  "
26339929,Obsessive/Compulsive Disorders,Diagnostic,What pattern of distribution was identified for the age at disorder onset in patients with obsessive-compulsive disorder?,Trimodal distribution,No clear distribution,Unimodal distribution,Bimodal distribution,Bimodal distribution,4,Medium,"ID: 1  
Question: Which biochemical metabolite ratios are significantly associated with distinguishing bipolar disorder patients with suicidal ideation from those without?  
Difficulty: Hard  

ID: 2  
Question: Which brain area is suggested to be involved in the difficulty to control compulsions associated with OCD?  
Difficulty: Medium  

ID: 3  
Question: Which personality traits were identified as significant predictors of response to sodium valproate in patients with psychotic mania?  
Difficulty: Medium  

ID: 4  
Question: How does weight-based peer discrimination in early adolescence relate to emotional outcomes later on?  
Difficulty: Medium  

ID: 5  
Question: What factor was associated with symptom improvement in patients without contamination-related obsessive-compulsive disorder during the early months of the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: What factors are identified as predictors of household food insecurity in women during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 7  
Question: Which specific executive function deficits are observed in individuals with personality disorders compared to controls?  
Difficulty: Medium  

ID: 8  
Question: What demographic characteristic is significantly associated with an increased risk of nonsuicidal self-injury among transgender and gender-expansive youth?  
Difficulty: Easy  

ID: 9  
Question: What pattern of distribution was identified for the age at disorder onset in patients with obsessive-compulsive disorder?  
Difficulty: Medium  

ID: 10  
Question: What psychological trait was studied for its potential impact on the relationship between cognitive functioning and obsessive-compulsive symptoms in older adults?  
Difficulty: Medium  "
27541572,Obsessive/Compulsive Disorders,Diagnostic,What psychological trait was studied for its potential impact on the relationship between cognitive functioning and obsessive-compulsive symptoms in older adults?,Memory recall,Stress management,Emotional intelligence,Cognitive self-consciousness,Cognitive self-consciousness,4,Medium,"ID: 1  
Question: Which biochemical metabolite ratios are significantly associated with distinguishing bipolar disorder patients with suicidal ideation from those without?  
Difficulty: Hard  

ID: 2  
Question: Which brain area is suggested to be involved in the difficulty to control compulsions associated with OCD?  
Difficulty: Medium  

ID: 3  
Question: Which personality traits were identified as significant predictors of response to sodium valproate in patients with psychotic mania?  
Difficulty: Medium  

ID: 4  
Question: How does weight-based peer discrimination in early adolescence relate to emotional outcomes later on?  
Difficulty: Medium  

ID: 5  
Question: What factor was associated with symptom improvement in patients without contamination-related obsessive-compulsive disorder during the early months of the COVID-19 pandemic?  
Difficulty: Medium  

ID: 6  
Question: What factors are identified as predictors of household food insecurity in women during the COVID-19 pandemic?  
Difficulty: Medium  

ID: 7  
Question: Which specific executive function deficits are observed in individuals with personality disorders compared to controls?  
Difficulty: Medium  

ID: 8  
Question: What demographic characteristic is significantly associated with an increased risk of nonsuicidal self-injury among transgender and gender-expansive youth?  
Difficulty: Easy  

ID: 9  
Question: What pattern of distribution was identified for the age at disorder onset in patients with obsessive-compulsive disorder?  
Difficulty: Medium  

ID: 10  
Question: What psychological trait was studied for its potential impact on the relationship between cognitive functioning and obsessive-compulsive symptoms in older adults?  
Difficulty: Medium  "
35312241,Obsessive/Compulsive Disorders,Diagnostic,"Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?",Bipolar disorder,Depressive disorder,Generalized anxiety disorder,Obsessive-compulsive disorder,Obsessive-compulsive disorder,4,Medium,"ID: 1  
Question: Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?  
Difficulty: Medium  

ID: 2  
Question: Which neuropsychiatric symptoms often present early in diseases like corticobasal degeneration and progressive supranuclear palsy, potentially leading to misdiagnosis?  
Difficulty: Medium  

ID: 3  
Question: Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?  
Difficulty: Medium  

ID: 4  
Question: What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?  
Difficulty: Medium  

ID: 5  
Question: What type of experiences are associated with developing multi-faceted and longstanding consequences in children?  
Difficulty: Easy  

ID: 6  
Question: What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?  
Difficulty: Medium  

ID: 7  
Question: What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?  
Difficulty: Medium  

ID: 8  
Question: Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?  
Difficulty: Hard  

ID: 9  
Question: What type of coping strategies did college students exposed to a potentially traumatic event demonstrate compared to non-exposed students?  
Difficulty: Medium  

ID: 10  
Question: What factor mediates the relationship between worktime control and mental health issues such as anxiety and depression among overtime employees?  
Difficulty: Medium  "
23611349,Depression,Diagnostic,"Which neuropsychiatric symptoms often present early in diseases like corticobasal degeneration and progressive supranuclear palsy, potentially leading to misdiagnosis?",Anxiety and OCD,Depression and apathy,Bipolar disorder and anxiety,Schizophrenia and mania,Depression and apathy,2,Medium,"ID: 1  
Question: Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?  
Difficulty: Medium  

ID: 2  
Question: Which neuropsychiatric symptoms often present early in diseases like corticobasal degeneration and progressive supranuclear palsy, potentially leading to misdiagnosis?  
Difficulty: Medium  

ID: 3  
Question: Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?  
Difficulty: Medium  

ID: 4  
Question: What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?  
Difficulty: Medium  

ID: 5  
Question: What type of experiences are associated with developing multi-faceted and longstanding consequences in children?  
Difficulty: Easy  

ID: 6  
Question: What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?  
Difficulty: Medium  

ID: 7  
Question: What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?  
Difficulty: Medium  

ID: 8  
Question: Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?  
Difficulty: Hard  

ID: 9  
Question: What type of coping strategies did college students exposed to a potentially traumatic event demonstrate compared to non-exposed students?  
Difficulty: Medium  

ID: 10  
Question: What factor mediates the relationship between worktime control and mental health issues such as anxiety and depression among overtime employees?  
Difficulty: Medium  "
22429207,Anxiety,Diagnostic,Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?,Internalized anger control,Trait anger,Externalized anger expression,Hostility,Trait anger,2,Medium,"ID: 1  
Question: Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?  
Difficulty: Medium  

ID: 2  
Question: Which neuropsychiatric symptoms often present early in diseases like corticobasal degeneration and progressive supranuclear palsy, potentially leading to misdiagnosis?  
Difficulty: Medium  

ID: 3  
Question: Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?  
Difficulty: Medium  

ID: 4  
Question: What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?  
Difficulty: Medium  

ID: 5  
Question: What type of experiences are associated with developing multi-faceted and longstanding consequences in children?  
Difficulty: Easy  

ID: 6  
Question: What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?  
Difficulty: Medium  

ID: 7  
Question: What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?  
Difficulty: Medium  

ID: 8  
Question: Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?  
Difficulty: Hard  

ID: 9  
Question: What type of coping strategies did college students exposed to a potentially traumatic event demonstrate compared to non-exposed students?  
Difficulty: Medium  

ID: 10  
Question: What factor mediates the relationship between worktime control and mental health issues such as anxiety and depression among overtime employees?  
Difficulty: Medium  "
34955911,Trauma,Diagnostic,What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?,Parental influence,Social isolation,Academic performance,Peer relationships,Social isolation,2,Medium,"ID: 1  
Question: Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?  
Difficulty: Medium  

ID: 2  
Question: Which neuropsychiatric symptoms often present early in diseases like corticobasal degeneration and progressive supranuclear palsy, potentially leading to misdiagnosis?  
Difficulty: Medium  

ID: 3  
Question: Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?  
Difficulty: Medium  

ID: 4  
Question: What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?  
Difficulty: Medium  

ID: 5  
Question: What type of experiences are associated with developing multi-faceted and longstanding consequences in children?  
Difficulty: Easy  

ID: 6  
Question: What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?  
Difficulty: Medium  

ID: 7  
Question: What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?  
Difficulty: Medium  

ID: 8  
Question: Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?  
Difficulty: Hard  

ID: 9  
Question: What type of coping strategies did college students exposed to a potentially traumatic event demonstrate compared to non-exposed students?  
Difficulty: Medium  

ID: 10  
Question: What factor mediates the relationship between worktime control and mental health issues such as anxiety and depression among overtime employees?  
Difficulty: Medium  "
35935425,Trauma,Diagnostic,What type of experiences are associated with developing multi-faceted and longstanding consequences in children?,Positive reinforcement,Social support,Healthy parenting,Adverse childhood experiences,Adverse childhood experiences,4,Easy,"ID: 1  
Question: Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?  
Difficulty: Medium  

ID: 2  
Question: Which neuropsychiatric symptoms often present early in diseases like corticobasal degeneration and progressive supranuclear palsy, potentially leading to misdiagnosis?  
Difficulty: Medium  

ID: 3  
Question: Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?  
Difficulty: Medium  

ID: 4  
Question: What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?  
Difficulty: Medium  

ID: 5  
Question: What type of experiences are associated with developing multi-faceted and longstanding consequences in children?  
Difficulty: Easy  

ID: 6  
Question: What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?  
Difficulty: Medium  

ID: 7  
Question: What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?  
Difficulty: Medium  

ID: 8  
Question: Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?  
Difficulty: Hard  

ID: 9  
Question: What type of coping strategies did college students exposed to a potentially traumatic event demonstrate compared to non-exposed students?  
Difficulty: Medium  

ID: 10  
Question: What factor mediates the relationship between worktime control and mental health issues such as anxiety and depression among overtime employees?  
Difficulty: Medium  "
23312082,Anxiety,Diagnostic,What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?,Increased cage size,Handling,Isolation,Medication,Handling,2,Medium,"ID: 1  
Question: Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?  
Difficulty: Medium  

ID: 2  
Question: Which neuropsychiatric symptoms often present early in diseases like corticobasal degeneration and progressive supranuclear palsy, potentially leading to misdiagnosis?  
Difficulty: Medium  

ID: 3  
Question: Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?  
Difficulty: Medium  

ID: 4  
Question: What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?  
Difficulty: Medium  

ID: 5  
Question: What type of experiences are associated with developing multi-faceted and longstanding consequences in children?  
Difficulty: Easy  

ID: 6  
Question: What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?  
Difficulty: Medium  

ID: 7  
Question: What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?  
Difficulty: Medium  

ID: 8  
Question: Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?  
Difficulty: Hard  

ID: 9  
Question: What type of coping strategies did college students exposed to a potentially traumatic event demonstrate compared to non-exposed students?  
Difficulty: Medium  

ID: 10  
Question: What factor mediates the relationship between worktime control and mental health issues such as anxiety and depression among overtime employees?  
Difficulty: Medium  "
37718517,Depression,Diagnostic,What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?,Autoimmune mechanisms,Dietary habits,Lifestyle choices,Genetic predisposition,Autoimmune mechanisms,1,Medium,"ID: 1  
Question: Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?  
Difficulty: Medium  

ID: 2  
Question: Which neuropsychiatric symptoms often present early in diseases like corticobasal degeneration and progressive supranuclear palsy, potentially leading to misdiagnosis?  
Difficulty: Medium  

ID: 3  
Question: Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?  
Difficulty: Medium  

ID: 4  
Question: What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?  
Difficulty: Medium  

ID: 5  
Question: What type of experiences are associated with developing multi-faceted and longstanding consequences in children?  
Difficulty: Easy  

ID: 6  
Question: What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?  
Difficulty: Medium  

ID: 7  
Question: What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?  
Difficulty: Medium  

ID: 8  
Question: Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?  
Difficulty: Hard  

ID: 9  
Question: What type of coping strategies did college students exposed to a potentially traumatic event demonstrate compared to non-exposed students?  
Difficulty: Medium  

ID: 10  
Question: What factor mediates the relationship between worktime control and mental health issues such as anxiety and depression among overtime employees?  
Difficulty: Medium  "
28539954,Anxiety,Diagnostic,Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?,Hormonal fluctuations,Neural projection patterns,Cognitive biases,Chemical imbalances,Neural projection patterns,2,Hard,"ID: 1  
Question: Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?  
Difficulty: Medium  

ID: 2  
Question: Which neuropsychiatric symptoms often present early in diseases like corticobasal degeneration and progressive supranuclear palsy, potentially leading to misdiagnosis?  
Difficulty: Medium  

ID: 3  
Question: Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?  
Difficulty: Medium  

ID: 4  
Question: What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?  
Difficulty: Medium  

ID: 5  
Question: What type of experiences are associated with developing multi-faceted and longstanding consequences in children?  
Difficulty: Easy  

ID: 6  
Question: What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?  
Difficulty: Medium  

ID: 7  
Question: What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?  
Difficulty: Medium  

ID: 8  
Question: Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?  
Difficulty: Hard  

ID: 9  
Question: What type of coping strategies did college students exposed to a potentially traumatic event demonstrate compared to non-exposed students?  
Difficulty: Medium  

ID: 10  
Question: What factor mediates the relationship between worktime control and mental health issues such as anxiety and depression among overtime employees?  
Difficulty: Medium  "
21424946,Trauma,Diagnostic,What type of coping strategies did college students exposed to a potentially traumatic event demonstrate compared to non-exposed students?,Approach-focused coping,Distraction-focused coping,Avoidance-focused coping,Emotion-focused coping,Avoidance-focused coping,3,Medium,"ID: 1  
Question: Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?  
Difficulty: Medium  

ID: 2  
Question: Which neuropsychiatric symptoms often present early in diseases like corticobasal degeneration and progressive supranuclear palsy, potentially leading to misdiagnosis?  
Difficulty: Medium  

ID: 3  
Question: Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?  
Difficulty: Medium  

ID: 4  
Question: What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?  
Difficulty: Medium  

ID: 5  
Question: What type of experiences are associated with developing multi-faceted and longstanding consequences in children?  
Difficulty: Easy  

ID: 6  
Question: What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?  
Difficulty: Medium  

ID: 7  
Question: What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?  
Difficulty: Medium  

ID: 8  
Question: Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?  
Difficulty: Hard  

ID: 9  
Question: What type of coping strategies did college students exposed to a potentially traumatic event demonstrate compared to non-exposed students?  
Difficulty: Medium  

ID: 10  
Question: What factor mediates the relationship between worktime control and mental health issues such as anxiety and depression among overtime employees?  
Difficulty: Medium  "
35409451,Anxiety,Diagnostic,What factor mediates the relationship between worktime control and mental health issues such as anxiety and depression among overtime employees?,Voluntary overtime,Work-life balance,Supervisory support,Flexible scheduling,Voluntary overtime,1,Medium,"ID: 1  
Question: Which disorder is often comorbid with Tourette's syndrome and characterized by uncontrollable, repetitive thoughts and behaviors?  
Difficulty: Medium  

ID: 2  
Question: Which neuropsychiatric symptoms often present early in diseases like corticobasal degeneration and progressive supranuclear palsy, potentially leading to misdiagnosis?  
Difficulty: Medium  

ID: 3  
Question: Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?  
Difficulty: Medium  

ID: 4  
Question: What psychosocial factors have been associated with an increase in non-suicidal self-injury among adolescents during the pandemic?  
Difficulty: Medium  

ID: 5  
Question: What type of experiences are associated with developing multi-faceted and longstanding consequences in children?  
Difficulty: Easy  

ID: 6  
Question: What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?  
Difficulty: Medium  

ID: 7  
Question: What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?  
Difficulty: Medium  

ID: 8  
Question: Which mechanism is involved in the differential control of fear consolidation and extinction by the bed nucleus of the stria terminalis?  
Difficulty: Hard  

ID: 9  
Question: What type of coping strategies did college students exposed to a potentially traumatic event demonstrate compared to non-exposed students?  
Difficulty: Medium  

ID: 10  
Question: What factor mediates the relationship between worktime control and mental health issues such as anxiety and depression among overtime employees?  
Difficulty: Medium  "
17268761,Trauma,Diagnostic,Which risk factor significantly increases the likelihood of suicide within 60 days of psychiatric discharge?,Previous deliberate self-harm,Chronic pain,Physical disability,Substance withdrawal,Previous deliberate self-harm,1,Medium,"ID: 1  
Question: Which risk factor significantly increases the likelihood of suicide within 60 days of psychiatric discharge?  
Difficulty: Medium  

ID: 2  
Question: Which psychological factors are associated with suicidal ideation and lifetime suicide attempts in individuals with spinal cord injury?  
Difficulty: Hard  

ID: 3  
Question: In the context of high school students preparing for exams, what factor is identified as mediating the relationship between resilience and quality of life?  
Difficulty: Medium  

ID: 4  
Question: What dysfunction is linked to the negative emotional bias commonly observed in individuals with major depressive disorder?  
Difficulty: Medium  

ID: 5  
Question: What neurodevelopmental challenges are individuals with Phelan-McDermid Syndrome primarily associated with?  
Difficulty: Medium  

ID: 6  
Question: What specific alteration in functional connectivity is linked to early-onset obsessive-compulsive disorder?  
Difficulty: Hard  

ID: 7  
Question: What type of neurotransmitter transmission is hypothesized to be abnormal in both Tourette's disorder and obsessive-compulsive disorder?  
Difficulty: Medium  

ID: 8  
Question: Which brain region's volume is typically reduced in children and adolescents suffering from post-traumatic stress disorder?  
Difficulty: Easy  

ID: 9  
Question: What two types of core conflicts are proposed in the double conflicts model hypothesized to be key factors in the psychopathology of obsessive-compulsive disorder?  
Difficulty: Hard  

ID: 10  
Question: Which socio-demographic characteristics were identified as common among psychiatric patients with a history of suicidal behavior?  
Difficulty: Medium  "
25613597,Trauma,Diagnostic,Which psychological factors are associated with suicidal ideation and lifetime suicide attempts in individuals with spinal cord injury?,Better spiritual well-being,Older age at injury,Increased education,Lower environmental reward,Lower environmental reward,4,Hard,"ID: 1  
Question: Which risk factor significantly increases the likelihood of suicide within 60 days of psychiatric discharge?  
Difficulty: Medium  

ID: 2  
Question: Which psychological factors are associated with suicidal ideation and lifetime suicide attempts in individuals with spinal cord injury?  
Difficulty: Hard  

ID: 3  
Question: In the context of high school students preparing for exams, what factor is identified as mediating the relationship between resilience and quality of life?  
Difficulty: Medium  

ID: 4  
Question: What dysfunction is linked to the negative emotional bias commonly observed in individuals with major depressive disorder?  
Difficulty: Medium  

ID: 5  
Question: What neurodevelopmental challenges are individuals with Phelan-McDermid Syndrome primarily associated with?  
Difficulty: Medium  

ID: 6  
Question: What specific alteration in functional connectivity is linked to early-onset obsessive-compulsive disorder?  
Difficulty: Hard  

ID: 7  
Question: What type of neurotransmitter transmission is hypothesized to be abnormal in both Tourette's disorder and obsessive-compulsive disorder?  
Difficulty: Medium  

ID: 8  
Question: Which brain region's volume is typically reduced in children and adolescents suffering from post-traumatic stress disorder?  
Difficulty: Easy  

ID: 9  
Question: What two types of core conflicts are proposed in the double conflicts model hypothesized to be key factors in the psychopathology of obsessive-compulsive disorder?  
Difficulty: Hard  

ID: 10  
Question: Which socio-demographic characteristics were identified as common among psychiatric patients with a history of suicidal behavior?  
Difficulty: Medium  "
34044557,Trauma,Diagnostic,"In the context of high school students preparing for exams, what factor is identified as mediating the relationship between resilience and quality of life?",age of the students,academic performance,stress levels,attendance rates,stress levels,3,Medium,"ID: 1  
Question: Which risk factor significantly increases the likelihood of suicide within 60 days of psychiatric discharge?  
Difficulty: Medium  

ID: 2  
Question: Which psychological factors are associated with suicidal ideation and lifetime suicide attempts in individuals with spinal cord injury?  
Difficulty: Hard  

ID: 3  
Question: In the context of high school students preparing for exams, what factor is identified as mediating the relationship between resilience and quality of life?  
Difficulty: Medium  

ID: 4  
Question: What dysfunction is linked to the negative emotional bias commonly observed in individuals with major depressive disorder?  
Difficulty: Medium  

ID: 5  
Question: What neurodevelopmental challenges are individuals with Phelan-McDermid Syndrome primarily associated with?  
Difficulty: Medium  

ID: 6  
Question: What specific alteration in functional connectivity is linked to early-onset obsessive-compulsive disorder?  
Difficulty: Hard  

ID: 7  
Question: What type of neurotransmitter transmission is hypothesized to be abnormal in both Tourette's disorder and obsessive-compulsive disorder?  
Difficulty: Medium  

ID: 8  
Question: Which brain region's volume is typically reduced in children and adolescents suffering from post-traumatic stress disorder?  
Difficulty: Easy  

ID: 9  
Question: What two types of core conflicts are proposed in the double conflicts model hypothesized to be key factors in the psychopathology of obsessive-compulsive disorder?  
Difficulty: Hard  

ID: 10  
Question: Which socio-demographic characteristics were identified as common among psychiatric patients with a history of suicidal behavior?  
Difficulty: Medium  "
35479498,Depression,Diagnostic,What dysfunction is linked to the negative emotional bias commonly observed in individuals with major depressive disorder?,Visual processing dysfunction,Interoception dysfunction,Auditory processing difficulties,Cognitive flexibility issues,Interoception dysfunction,2,Medium,"ID: 1  
Question: Which risk factor significantly increases the likelihood of suicide within 60 days of psychiatric discharge?  
Difficulty: Medium  

ID: 2  
Question: Which psychological factors are associated with suicidal ideation and lifetime suicide attempts in individuals with spinal cord injury?  
Difficulty: Hard  

ID: 3  
Question: In the context of high school students preparing for exams, what factor is identified as mediating the relationship between resilience and quality of life?  
Difficulty: Medium  

ID: 4  
Question: What dysfunction is linked to the negative emotional bias commonly observed in individuals with major depressive disorder?  
Difficulty: Medium  

ID: 5  
Question: What neurodevelopmental challenges are individuals with Phelan-McDermid Syndrome primarily associated with?  
Difficulty: Medium  

ID: 6  
Question: What specific alteration in functional connectivity is linked to early-onset obsessive-compulsive disorder?  
Difficulty: Hard  

ID: 7  
Question: What type of neurotransmitter transmission is hypothesized to be abnormal in both Tourette's disorder and obsessive-compulsive disorder?  
Difficulty: Medium  

ID: 8  
Question: Which brain region's volume is typically reduced in children and adolescents suffering from post-traumatic stress disorder?  
Difficulty: Easy  

ID: 9  
Question: What two types of core conflicts are proposed in the double conflicts model hypothesized to be key factors in the psychopathology of obsessive-compulsive disorder?  
Difficulty: Hard  

ID: 10  
Question: Which socio-demographic characteristics were identified as common among psychiatric patients with a history of suicidal behavior?  
Difficulty: Medium  "
