id,question,option1,option2,option3,option4,correct_option_number
4a30a93b-b553-4fc3-a82f-395b2c158e7c,"An intern posted in medicine ward was reprimanded by the senior resident as he had forgotten to send the blood samples of a patient in the morning. Sometime later the same intern was heard shouting on the family member of a patient, who had come to inform him, that the normal saline drip that was being given to his patient needs to be changed. What defines mechanism is the intern using here-",Displacement,Projection,Intellectualisation,Reaction formation,1
41a6b724-294a-4491-aacf-c3574b30cc06,Which of the following pa of brain is commonly involved in the pathology of Wernicke's encephalopathy?,Mamillary body,Frontal coex,Pituitary gland,Temporal lobe,1
5255598e-0e53-4ff3-a71a-b7c9def77fdf,Definitive treatment of all types of phobias,Behaviour therapy,Social therapy,Avoidance,Drug therapy,1
b627bb86-bb26-4984-97da-93723e4418cb,"Three policemen, with difficulty, drag an agitated and very combative young man into an emergency room. Once there, he is restrained because he reacts with rage and tries to hit anyone who approaches him. When it is finally safe to approach him, the resident on call notices that the patient has very prominent veical nystagmus. Sholy thereafter, the patient has a generalized seizure. Which of the following substances of abuse is the most likely to produce this presentation?",Amphetamine,PCP,Cocaine,Meperidine,3
24d02c3f-3f3f-4ed2-a9c6-ff0ecf163b5c,Type D personality has been recently found to be a risk factor for:,Coronary artery disease,Depression,Personality disorder,Schizophrenia,1
ed5f7450-7e17-4c78-bb62-366ddc0fea4e,Neurofibrillary tangles are deposition of,Aβ peptide,Lewy bodies,Tau protein,Hirana bodies,3
caeb4f47-d82b-4d34-b1f8-6da311ecaf64,In catatonic schizophrenia which is not found :,Waxy flexibility,Automatic Obedience,Somatic passivity,Gegenhalten,3
75e271b1-83ef-4b6f-8fcb-20dbe7891c0c,Characteristic hallucination of schizophrenia is,Auditory hallucinations commanding the patient,Auditory hallucinations giving running commentary,Auditory hallucinations criticizing the patient,Auditory hallucinations talking to patient,2
ff49a6fd-20cb-4dfd-977d-3e4cc9848c71,Max duration of time spent is in NREM stage?,I,II,III,IV,2
33073045-5925-4618-8c87-44951c55fd12,Which category of ICD is associated with schizophrenia,F0,F1,F2,F3,3
80ad821e-76dd-4b14-a138-f1bbf48c0c1c,Treatment of choice for endogenous depression with suicidal tendency -,Lithium,Chlorpromazine,ECT,Psychoanalysis,3
74fe4ca3-7c5c-4cfe-8115-836f52c2bc15,Drug of choice for rapid cycles of bipolar disorder is,Valproate,Lithium,Haloperidol,Chlorpromazine,1
a909634e-8336-4df0-acbc-1c310a742d42,Basanti 27 years old female thinks her nose is ugly. Her idea is fixed and not shared by anyone else. Whenever she goes out of the home she hides her face. She visits a surgeon for plastic surgery. Next step would be-,Investigate & then operate,Reassure the patient,Immediate operation,Refer to psychiatrist,4
d33a9a79-4980-4b14-8752-cf5219bde092,A patient of schizophrenia on CPZ (chlorpromazine) develops auditory hallucination again. The next drug to be given is -,Haloperidol,Clozapine,Sulpiride,Tianeptin,2
f50fbf80-d4f1-479d-b896-dfe68e8783ee,What is the most common reason that psychotherapy for personality disorders is so difficult to carry out successfully?,The traits are often ego-dystonic,The patients are usually too sick to use psychotherapy,These disorders respond better to medication than to psychotherapy,"The patients often see the source of their problems in others, not themselves.",4
93ee3488-5786-4779-a856-847aded8fd2d,Scientist who won Nobel prize for research in split brain personality?,Penfield,Roger Sperry,Michael Morgis,George D. Snell,2
329853c4-f552-4dda-baf2-673623066915,A man coming from mountain whose wife died 6 months prior says that his wife appeared to him and asked him to join her. The diagnosis is,Normal grief,Grief psychosis,Berevement reaction,Supernatural phenomenon,2
a8a2cd77-ba4f-43a6-93d8-414001525561,The following is a feature of Korsakoff's psychosis:-,Confabulation,Encephalopathy,Ophthalmoplegia,Hallucination,1
bb82d5b5-922b-4ac3-8019-2f6b8caabbef,"""8 stages of psychosocial development"" were given by",Sigmond Freud,Carl Jung,Erik erikson,Roger Sperry,3
e58a26f6-a974-4b87-b644-07850861429c,Most common psychiatric condition is,Anxiety related,Depressive related,Phobias,Schizophrenia,1
29a5646c-f041-49bc-84a6-955c909e9224,Sudden development of a severe throbbing headache signals a possible medical emergency is a characteristic side effect of which psychotropic medication?,Lithium carbonate,Phenelzine,Diazepam,Thioridazine,2
1955f988-e6ad-4ce1-bbd7-42b84824adc1,"In depression, there is a deficiency in",5-HT,Ach,Dopamine,GABA,1
a79dade4-ec60-4272-80ae-5285b58b12c3,A person is said to be mentally retarded when IQ is,< 100,<90,<80,<70,4
76e4fd9b-b0ae-49ad-89aa-bb048c84dd6a,Psychiatric complications of alcohol dependence :,Anxiety,Suicide,Depression,All,4
ed7a5a56-1f99-4bce-81ce-3f168a8e342b,Di-acetyl morphine is -,Bhang,Ganja,Heroin,Hashih,3
d5ca8954-c4e9-41c1-9b26-5e598ac12765,18 yrs. old hears voices discussing him in third person has:,Schizophrenia,Depression,Mania,Phobia,1
70f3d34c-6d14-44e6-a272-c8f749365503,Cluster C personality disorder is?,Obsessive compulsive,Paranoid,Schizoid,Borderline,1
97092fd0-55ab-4548-87b4-a5477b3e8654,Delirium tremens is seen in -,Alcohol withdrawal,Alcoholoverdoses,Morphine poisoning,Atropine poisoning,1
a7d36335-ba82-468b-9254-9d08b554a68f,"The term ""Ambivalence"" was coined by -",Hippocrates,Eugen bleuler,Kraeplin,Sigmund freud,2
caf977f1-c87f-4e2f-a924-097fc5d8fe27,"Following are the somatic therapies used in depression, except:",Electroconvulsive therapy,Deep brain stimulation,Transcranial magnetic stimulation,Ultrasound brain stem stimulation,4
746e3587-00d2-4dd6-83e6-ccb6ccfa0d66,Schneider's first rank symptom is ?,Depresonalization,Derealization,Audible thoughts,Insomnia,1
407052be-9d3e-4656-80e8-75bb3a2027ec,The Halstead Reitan battery involves all except :(,Finger oscillation,Constructional praxis,Rhythm,Tactual performance,2
9a586a37-fb87-4f57-91ae-0ac9a0c6354d,A 26-year old lady has just recovered from acute manic episode. She has a diagnosis of bipolar affective disorder. Which one of the following is not used for the prophylaxis of the condition?,Carbamazepine,Lithium,Semisodium Valproate,Chlorpromazine,4
764155a3-433c-436b-bf94-2279176c9f23,Treatment of resistant depression is -,ECT,SSRI,TCAs,Venalafexine,1
edfedc44-beed-43b9-9158-8cf995e4010d,Differentiating features b/w neurosis and psychosis :,Insight is preserved,Lack of insight,Personality and behavior preserved,,2
5f88fa79-c75b-4ea8-b46c-e551e9ddd2db,A Chronic alcoholic blames the family environment as a cause of his alcoholism. This is phenomenon of,Projection,Denial,Rationalization,Sublimation,3
c74277fa-635a-4af9-b080-102439b0e0b4,Paranoid psychosis observed with cocaine abuse can be explained by,Tolerance,Intoxication,Reverse tolerance,Withdrawal,3
ce7280ae-f364-416e-9cd2-bd3debe4090e,Which of the following statements differentiates the obsessional idea from delusions :,The idea is not a conventional belief,The idea is held inspite of contrary evidence,The idea is regarded as senseless by patient,The idea is held on inadequate ground,3
5a55d242-5a56-45fe-8ea3-0d07322dc5c6,Antidepressant drug that can cause neuroleptic malignant syndrome and tardive dyskinesia is:March 2009,Amineptin,Carbamazepine,Amoxapine,Trazodone,3
66fb593c-a017-4b9c-bf2a-afad285423f7,Higher cortisol levels are seen in w hich of the following conditions?,Depression,Phobia,Schizophrenia,Parkinsonism,1
b4fe0d02-bf10-48fd-96b4-fd9e1ef56608,That pa of mind which is working on reality principle is:,ID,Ego,Super ego,Super ego,2
eb338bd5-e09c-4739-b692-6c3761704b0b,Good prognosis in schizophrenia is indicated by :,Soft neurological Signs,Affective symptoms,Emotional blun ting,Insidious onset,2
5c13a058-94f1-4ccd-8d3e-b13a3eee3496,Depression is a feature of which of the following condition -a) Hypopituitarismb) Hyperthyroidismc) Hypothyroidismd) Hypoglycemia,ab,abc,acd,bcd,2
b6e90bb8-9c66-4344-a89f-81c7e7fd6699,"An alcoholic patient comes to your office, he can not tell his name. There is gross in coordination in walking, and his eyes are deted to one side. What is the probable diagnosis?",Wernicke's encephalopathy,Korsakoff's psychosis,Alcoholic hallucinosis,Delirium tremens,1
e8bd8a79-47d6-4efa-aa25-c9250bfa3dcd,A 16 year old male is found to have a mental age of 9 years on I.Q. testing. He has:,Mild Mental Retardation,Moderate Mental Retardation,Severe Mental Retardation,Profound Mental Retardation,1
4dbeb25c-2e9a-4196-9b9f-ae5b876af305,Which of the following is delusion -,Othello syndrome,Rabbit's Syndrome,Pyromania,,1
8a14882e-69c2-44e2-99c1-511667e23548,Which one of the following is a subcortical dementia?,Alzheimer's disease,Huntington's chorea,Normal pressure Hydrocephalus,Vit B12 deficiency,2
60e57daf-e8d1-47ca-b14b-2b597c31a1dd,"A 10 year old boy was brought to the psychiatrist by parents with complaints of not following the rules of school, arguing with teachers and fellow students. The parents repos that he misbehaves with them too and at times tries to provoke them. What is the likely diagnosis-",Autism spectrum disorder,Oppositional defiant disorder,Conduct disorder,Attention deficit hyperactivity disorder,2
3dc7cfae-f1fa-4b38-9b68-c95eebbad9ff,An 8 year old child has shown of lack of interest in studies for last 6 months. He has frequent quarrels with his parents and has frequent headaches as anexcuse to avoid school. What would be the most appropriate clinical diagnosis in this patient?,Rule out migraine,Rule out depression,Rule out an oppositional defiant disorder,Leave him as normal adolescent problem,3
395277f5-7725-4193-adfd-2ac4a8b85b79,All of the following are pas of cognitive behavior change technique except:,Pre-contemplation,Consolidation,Action,Contemplation,2
20f8f824-767e-4577-a872-63a315988f65,Delusion that someone from high socioeconomic status is loving you is,Othello syndrome,Capgras syndrome,De Clerambault syndrome,Franklin syndrome,3
074bdbb2-9509-4338-a708-770fc76a77c0,Which of the following is not used in delirium -,Haloperidol,Lithium,Diazepam,Olanzapine,2
a561b35b-4cbf-41bd-a493-46a33f0ae28e,Persons with intermittent explosive disorder generally display all of the following except?,Aggressive outbursts and violence,Destruction of propey,"Remorse, regret and embarrassment about their actions",Bulimia,4
2863aa80-1c9c-4038-b614-eccee711f81b,Feature suggestive of schizophrenia rather than organic psychosis is,Third person hallucination,Split personality,Visual hallucination,Altered sensorium,1
e6106c75-74bf-4de0-9937-d5f748a3a282,According to disabilities ACT 1995. Seventh disability is usually referred to as?,Neurological abnormality,Mental illness,Substance abuse,Diability due to road traffic accident,2
e4e21cd3-8731-4bf1-beed-658a48055ab2,"After use of some drug, a person develops episodes of rage in which he runs about and indiscriminately injures a person who is encountered in way. He is probably addict of-",Alcohol,Cannabis,Opium,Cocaine,2
cb18687a-f0ff-4b8f-a47e-dee481246025,Not a feature of alcohol withdrawal is:,Hallucination,Tremor,Hypersomnolence,Autonomic hyperactivity,3
6c9eef7b-db20-4007-85b4-d9ea61d7dc0f,Which personality disorder/s can be a part of autistic spectrum of disorders?,Schizoid,Schizotypical,Borderline,All the above,4
30a5bd7c-07b4-43b8-b452-f8e6a4b8df82,"20 years old girl Nelu enjoys wearing male clothes. Wearing male clothes gives her feeling of more confidence and after these episodes, she is an absolutely normal girl. The likely diagnosis is -",Trans sexualism,Fetishism,Dual role transvestism,Fetishistic transvestism,3
5042da44-cdf1-4bd1-943c-8213d3155fef,A man coming from a mountain whose wife died 6 months prior says that his wife appeared to him and asked him to join her. The diagnosis is,Normal grief,Grief psychosis,Bereavement reaction,Supernatural phenomenon,2
6c16170d-7cb8-48f0-aee3-f505871de921,Treatment of seasonal affective disorder,SSRIs,ECT,Bright light therapy,Sensate focus,3
1a4fca1a-2131-45f0-a7ef-831f2ad8cd5b,"A 30-year old male with history of alcohol abuse for 15 years is brought to the hospital emergency with complaints of fearfulness, mis-recognition, talking to self, aggressive behavior, tremulousness and seeing snakes and reptiles that are not visible to others around him. There is history of drinking alcohol two days prior to the onset of the present complaints. He is most likely suffering from:",Delirium tremens,Alcoholic hallucinosis,Schizophrenia,Seizure disorder,1
fb0bf5fc-d85f-4cbc-a48e-ac2c728f5866,Classical triad of symptoms of depression includes all except ?,Depressed mood,Slowed thinking,Distractibility,Psychomotor retardation,3
f4718a6b-3259-4734-b48e-893b964969fd,Neurotransmitter changes proposed in cases of Anxiety,"Increased NE, and decreased GABA and serotonin","Decreased NE and serotonin, and increased Ach",Decreased GABA and Ach,"Increased serotonin, and decreased NE and GABA",1
73d01702-3e55-4bcc-a2b3-30939e892295,Which is first rank symptom described by -,Echolalia,Thought insertion,Autism,Suicidal tendency,2
43a9f564-1ba4-4bc6-9b8b-aab39e38be17,Hallucination which occur at sta of sleep are known as ?,Hypnogogic hallucination,Hypnopompic hallucination,Jactatio capitis nocturna,Reflex hallucinations,1
ecf6f648-4e63-4ba7-b375-d3f4c8ca6e2b,Transvestism is :,Wearing clothes of opposite sex,Touching ones own private pas to others,Desire for sexual intercourse with dead bodies,Orgasm from visualisation pa of the body of a woman,1
c16ab8fc-19a2-4865-adb3-ea1b3cff66ec,Which of the following is not included in delusional misidentification syndromes?,Capgras syndrome,Fregoli syndrome,Syndrome of intermetamorphosis,Syndrome of objective doubles,4
052045c7-0044-4d36-91ca-e0731bd2a412,Hypochondriasis is,Normal pre occupation with abnormal body functionL,Abnormal pre occupation with abnormal body function,Normal pre occupation with normal body function,Abnormal preoccupation with normal body function,4
1ff50b53-5854-40ad-9ddc-3b9710535484,Alexithymia is:,A feeling of intense rapture,Pathological sadness,Affective flattening,Inability to recognise and describe feelings,4
60a692e8-727a-4bbc-aec8-6376b75bf86a,"Delusions are seen in all of the following, Except -",Shizophrenia,Depression,Dementia,Conversion Disorder,4
50249487-29d2-4046-895a-c105f10365a9,Definitive treatment of phobias is,Behavioural therapy,Social therapy,Avoidance,Drug therapy,1
62e29778-4825-4021-97ca-cdb4ffc8d697,Early morning awakening and reduced latency of REM sleep is suggestive of -,Delirium,Depression,Schizophrenia,Anxiety,2
c7439348-0748-4f0d-b0e9-231d9cde0fc5,"A 31-year-old female patient has been diagnosed with bipolar Affective disorder. She is planned to be started on Lithium. Before starting it, which of the following laboratory tests should be done?","Thyroid function tests, S. creatinine, pregnancy test","Thyroid function tests, S. creatinine, complete blood count","Thyroid function tests, S. creatinine, ALT","Thyroid function tests, liver function tests, pregnancy test",1
cabcdb08-070b-4662-b0e9-9cdd8346fa8a,Early morning awakeness is a feature of -,Psychosis,Anxiety neurosis,Depression,Mania,3
cb8a27ca-bb7d-4c5d-bb3d-1f98b5f767b1,Frued is known for,Psychoanalysis,Cognitive therapy,Counselling,Flooding,1
52960709-acbb-403b-a468-8c74bfede83b,Absolute contraindication to ECT is:,Glaucoma,Brain tumor,Aoic aneurism,MI,2
6b73ee5c-0d05-4e11-822b-6953208f86fe,Which of the following is contraindication for use of ECT?,Pheochromocytoma,Catatonic schizophrenia,Mania,Schizophrenia,1
1573c5b6-9a66-4326-9bff-3e09f658977a,NREM Sleep true is -,Teeth grinding,Narcolepsy,Night mares,Sleep paralysis,1
7cc8ae08-ede5-4187-9323-82356219796e,A 30-year-old woman mentions that the trunk of a paicular tree near her apament looks like face of lord Ram She can see the face of lord Ram every time when she walks past that tree but not on the other trees. This phenomenon is known as?,Delusional misidentification,Delusion of reference,Illusion,Visual hallucination,3
ce4c5990-f8b4-496a-a4bc-5a296386b71d,A patient is brought with 6 month history of odd behaviour. There is a history of a family member having disappeared some years back. He seems to be talking to himself and sometimes muttering to himself loudly. The likely diagnosis is -,Schizophrenia,Conversion disorder,Major depression,Delusion,1
bb676ec3-ff79-42e5-bea8-51a127a952c0,Elation is controlled by,Limbic system,Frontal lobe,Temporal lobe,Occipital lobe,1
c1d98513-27ff-4fc7-8908-efae7914b1df,18-year-old girl with circumscribed bald patch on scalp with no organic disease and behavioural disorder has,Depression,Trichotillomania,OCD,Phobia,2
27482afa-d4a8-44a8-8d6f-b97285d8e4f7,Phobia is -a) Psychosisb) Anxietyc) Fear of animald) Neurosis,c,bd,ab,ac,2
a12a0cae-0dba-4b77-99a6-1f008e5f8580,Negative symptom of Schizophrenia includes\,Anhedonia,Hallucination,Illusion,Depression,1
9619678d-c5df-48e7-a4f7-5a4c445035d6,Which of the following statements about Alzheimer's disease are true?,Onset before 45 years of age is rare,Long-term memory is affected before sho term memory,Staining shows Tau protein in senile plaques,MRI shows atrophy in frontal and parietal lobes,1
7d29cf86-9fad-4c70-8236-79da70c4b410,Malignant neurolept hyperthermia (NMS) seen in all except -,Haloperidol,Metoclopramide,Domperidone,Amantadine,4
963301c9-2747-480c-803b-fdfcb2542fee,"""Attributing one's unacceptable feelings to others"" is known as",Projection,Sublimition,Dissosiation,Reaction formation,1
7ae4def0-9337-4253-bd17-fa60286a70ab,Maximum duration of time spent is in NREM stage,I,II,III,IV,2
295ea06a-931b-4536-9a13-1655e6de84b3,True about alcoholic dependence syndrome:,Tolerance,Withdrawa,CAGE questionnaire,All,4
f0b18db2-e609-4a4f-89d4-577138f588c0,"In a child with OCD, MRI will reveal reduced volume (atrophy) of:-",Putamen,Globus pallidus,Caudate nucleus,Cerebellum,3
3c9b2386-982c-423a-a2b2-7826828923a8,What is hypnopampic phenomenon?,If experienced while falling asleep,If experienced while awakening,After head trauma,After convulsion,2
2225fd58-8948-4443-91f2-5d33309285f6,Mental retardation is diagnosed if. (Intelligence quotient) is less than,90,80,70,60,3
48753f5a-6342-4d28-8d99-a5f4a754a660,True regarding FTD are all except:,Semantic dementia,Nonfluent aphasia,"Apathetic, disinhibited personality",Rapid onset static course,4
cb2d4bf1-889a-4e20-a680-b7ffa267b3ac,In which disorder 'Flooding' is used as a behavior therapy for treatment?,OCD,Schizophrenia,Phobia,Mania,3
312174f6-b9e8-4970-9001-2cf437b7f71a,Drug used for reducing sex drive in sexual offenders,Penfluridol,Trifluperidol,Benperidol,Molindone,3
1c28ea61-17b9-4454-ac0d-703ad28cdee1,"Diagnosis of Alcohol Dependence include all of the following, EXCEPT",Impaired occupational and social functioning,The need for daily drinking to function adequately,Lack of tolerance for alcohol,Inability to cut down or stop drinking,3
1f56b706-c457-44ce-8b4e-7d8954d30d62,Duration of the disease for the diagnosis of dysthymia is?,2 years,4years,6 years,8 years,1
aa3c897c-0051-4ebe-a7f4-63f512bb4cef,A 12-year-old boy is brought to your clinic for being very strange in his behaviours. He is late to school because he has to be in the shower for more than 2 hours. He feels compelled to use the soap repeatedly to clean off the 'germs' which he is worried off. He feels compelled to do this although he thinks that it is senseless. He checks his bag for his pen every 5 minutes. He has always struggled to complete his exams in time. Which of the following is the MOST likely diagnosis?,Specific phobia for germs,Autism Spectrum Disorder,Obsessive Compulsive Disorder,Cyclothymia,3
f1483896-9b92-44b4-99f5-111c175feffe,Shoest acting non benzodiazepine sedative is:,Zolpidem,Zaleplon,Zopiclone,Midazolam,2
66e69058-6670-4ea8-a625-a428527d4657,Double depression is,Depression with 2 episodes,Depression with Dysthymia,Depression for 2 weeks/2years,Dysthymia,2
db65f0d5-ec29-40b0-8622-695c4e98cb1e,Features of Alzheimer include all except,More common in females,Recent memory loss,MMSE useful in diagnosis,Medications offer near 100% cure,4
2279bdc5-3b67-4ff7-ae83-59f3b5b08782,Hallucinations which arises when a patient is falling asleep -,Hypnagogic hallucination,Hypnopompic hallucination,Non specific hallucinations,Jactatio nocturna capitis,1
e19b931a-493c-44a4-8ae1-0a502388a313,"A 1styr medical student presents with recurrent episodes aof choking sensation, breathlessness, intense sweating along with feeling of impending doom. Usually the episodes occur prior to exams. What is the most likely diagnosis?",Panic attack,Acute stress disorder,Generalised anxiety disorder,Phobia,1
2c8ae252-34c3-4f21-a4ff-c6a378c7dc04,"All of the following are predictable adverse effects of tricyclic antidepressants, EXCEPT:",Decrease in seizure threshold,Weight gain,Insomnia,Dry mouth,3
248e24fe-813d-414b-9966-4b1c0adb4e0e,"A 35 year old man with an obsessive compulsive personality disorder is likely to exhibit all of the following features, except",Perfectionism interfering with performance,Compulsive checking behaviour,Preoccupation with rule,Indecisiveness,4
974166b0-214b-4d84-8785-3a6ad189abd0,"An alcoholic is brought to the casualty, 3 days after he quit alcohol, with the complaints of irrelevant talking. On examination, he is found to be disoriented to time, place and person. He also has visual illusions and hallucinations. There is no history of head injury. The most probable diagnosis is:",Schizophrenia,Delirium tremens,Dementia praecox,Korsakoff psychosis,2
faa8dda6-db98-4b9c-ae59-6f54175dcc24,Features of obsessive-compulsive neurosis are,Repetitiveness,Irresistibility,Unpleasantness,All,4
ad5476c5-846a-4e03-92aa-21de351fe700,Schizophrenia mostly occurs in -,Adolescents,Children,Middle age,Old age,1
59924bd5-8bb3-4176-b515-2302af5a684e,Counteransference is,Patient's feeling towards therapist,Doctor's feeling towards the patient,Psychic connection between patient and disease,Type of defence mechanism,2
9bbd71b2-49ca-44c9-a8d5-3df1bd9fee7a,All are true about atypical depression except,Increased sleep and appetite is present,Weight gain can be seen,Fatigue & heaviness of the lower limbs is present,Mood reactivity to positive stimulus is absent,4
257bd9fa-8ffd-4877-972f-4e6e5dc7f029,Which one of the following phenomenon is closely associated with slow wave sleep,Dreaming,Sleep walking,Atonia,"Irregular hea,rate",2
f1d0d958-de87-4e20-8d4c-31f7d983e5c3,Delusion is a disorder of: September 2011,Stream of thought,Form of thought,Content of thought,Possession of thought,3
4daa2052-f241-4f22-8022-8d2d3787faa5,Which is not an ego defence mechanism -a) Rationalizationb) Repressionc) Identificationd) Obsession,ab,cd,bd,ac,2
cd8bdfe0-4f7e-49bb-b46a-258733ebe07b,The technique of Psychological autopsy is useful in studying the causation of,Schizophrenia,Personality disorders,Drug dependence,Suicide,4
6f17b679-e7d1-4c35-b3a9-66f71e3ab255,Drug of choice for attention deficit disorder with hyperactivity is: September 2009,Chlorpromazine,Clonidine,Imipramine,Methylphenidate,4
0a5b8ddc-6b32-49ad-aac0-3283d38ae4f3,"A patient comes to the clinic with complaints of depressed mood, he does not go out of his house much and is cut off from society. He has normal sleep and normal body weight. What is he most probably suffering from?",Major depression,Dysthymia,Chronic fatigue syndrome,No psychiatric illness,2
189448d7-5b0b-4329-a5ed-54a7c5f080ff,A 30 year old patient of schizophrenia on antipsychotics presents with amenorrhea and galactorrhea. Which of the following antipsychotic should she be shifted to:-,Haloperidol,Olanzapine,Risperidone,Aripiprazole,4
777be2bd-580b-4482-a070-ea1721fae19d,Delirium tremens is characteristically seen in,Chronic alcoholism,B2 deficiency,B12 deficiency,Niacin deficiency,1
96c88cc4-4177-4ff7-8440-20045efab58e,Munchausen syndrome by proxy is:NIMHANS 10,Factitious disorder,Malingering,Hysteria,Conversion disorder,1
62444b89-4921-4086-983c-626df178ac93,All are true about bulimia nervosa except:,Amenorrhoea,Binge eating,Purgation and vomiting,Normal body contour,1
94b50a87-26ea-4bce-8ec0-088e46c13a4d,Which of the following is the most significant component of a behavioral program developed to help a mother deal with a child having oppositional defiant disorder?,Positive reinforcement,Punishment,School suspension,Strict parenting,1
29afaa3d-248c-47ee-82f4-fb4e142c2adc,Schneider's first rank symptoms is seen in: March 2011,Delusion,Hallucination,Schizoid personality,Schizophrenia,4
3ac3f6e5-7419-421e-99ca-57dabeb19d1c,Squeeze Technique is used for:,Impotence,Premature ejaculation,Infeility,Priaprism,2
fede8532-05d1-40c5-8cbb-1960647a3bbc,"Esketamine, the drug that has been approved by FDA in 2019, has been approved for treatment of -",Depression,Resistant schizophrenia,Bipolar disorder,Ketamine dependence,1
61dc8adf-e341-4957-9d53-47ae037cbb44,"Patient presents with altered behaviour, delusions & hallucination suggest -",Psyshotic disorder,Confirms schizophrenia,Korsakoff's psychosis,Depression,1
d5e074dd-bacc-402d-b2c3-250580353ae7,which of following SSRI used in the panic disorder,paroxetine,clomipraamine,imipramine,trazadone,1
189f8567-7916-4e9b-a79e-e8b0b7178163,Oedepius complex has been described by:,Plato,Socaes,Freud,Huxley,3
06e346af-97be-4fc0-b064-9fdd317fc128,Illusion with altered sensorium is seen in,Schizophrenia,Hysteria,MDP,Delirium,4
c06494d8-7994-45f1-be93-7ea8e4ac5c27,Beta blockers are effective in:,Mania,Anxiety,Depression,Schizophrenia,2
5f50e203-bc08-4008-a694-f86f41114996,"In a child of IQ 50, which of the following is true -a) Can look after himself independentlyb) Can study upto 8th standardc) Can follow simple verbal commandsd) Can handle moneye) Recognize family members",bce,bde,abcd,acde,4
e58cf531-9dc0-4b0b-8990-5305d1ae1ad9,"T.J. Crow proposed a classification of schizophrenia patients into type I and type II. Type II schizophrenia is characterised by all, EXCEPT:",Negative symptoms,Poor response to medications,Disorganised behaviour,CT scan abnormal,3
251a4a7b-3333-42c2-8ab7-d49ed8c8becf,Drugs used in maintenance of substance dependance:,Clonidine,Acamprosate,Disulfiram,All,4
2c4742d3-476f-434f-9a9d-a128735bacd1,Lack of insight is not a feature of :,Panic disorder,Schizophrenia,Mania,Reactive Psychosis,1
a09944f9-7089-43ad-a89c-6e24a4ba33d5,All of the following are true about paranoid schizophrenia except -,Most common type of schizophrenia,Onset in 3rd / 4th decade,Delusions of grandeur,Rapid deterioration of personality,4
e5bb7771-f950-4729-a84b-1fb0a1378a20,The features of OCD are A/E,Irrationale thought,Egosyntonic,Resisting the idea,Persistence of idea,2
bf76e53c-acaa-478b-8973-96cff20a4466,T.J.Crow,"Coined the term ""Dementia Praecox""",Gave 11 First rank symptoms,"Divided Schizophrenia into 2 subtypes , Type I & Type II",Gave 4 'A's of Schizophrenia.,3
00faca7d-fe49-4f34-8e41-361c2b58f8ff,Delusion of grandiosity seen in -a) Hypomaniab) Schizoaffective maniac) Paranoid schizophreniad) Kleptomaniae) Pyromania,a,bc,ac,ad,2
b0c0f31d-357b-45eb-bff0-d0c1a64b4b01,True about generalized anxiety disorder is/are: a. Insomnia b. Hypersomnia c. Episodes last for minutes to hours d. Free floating anxiety e. Benzodiazepine is the treatment of choice f. Autonomic symptoms,all of the above,"a,b,d,f","a,d,e,f","a,b,c,d",3
7a0d18a7-433d-445f-b68e-695b79afe3cd,Malignant neuroleptic syndrome is caused by:March 2009,Antidepressants,Anxiolytics,Antipsychotics,Antiepileptics,3
b9aac52e-05c8-4feb-9869-ab57c9704bdd,A 16 year old boy does not attend school because of the fear of being harmed by school mates. He thinks that his classmates laugh at him and talk about him. He is even scared of going out of the market. He is most likely suffering from:,Anxiety disorder,Manic depressive psychosis (bipolar disorder),Adjustment reaction,Schizophrenia,4
8921e799-23e1-41ee-b625-9147f1a878a1,Perseveration is:,Persistent and inappropriate repetition of the same thoughts,Feeling of distress in a patient with schizophrenia,Characteristic of schizophrenia,Characteristic of obsessive compulsive disorder,1
f83c9ad9-e333-46eb-9cb0-22323b967a8a,Deja vu phenomenon means:,Feeling that familiar things look unfamiliar,Feeling that unfamiliar things look familiar,Unable to recall the familiar name,Feeling detached from one's own body,2
1b6f6d2a-30c8-435b-96b5-8ccfef0f5af4,All of the following are feature of depression except-,Nihilistic delusions,Diurnal variation in mood,Suicidal tendency,Elation,4
513411cc-4c3c-4cac-9fe1-0bb95674595d,ECT is most useful in -,Mania,Depression,OCD,Schizophrenia,2
19a0978e-1346-4744-92a3-9e871d228fa9,Following name is associated with Psychodynamic theory -,Carl Jung,Sigmund Freud,Emil Craplein,Eugen Bleuler,2
64eef754-15fa-4e8b-9af1-d16528c7565a,A 30 yr old male presents to the OP it with Erectile dysfunction. asic screening evaluation is unremarkable. The next step in the evaluation /management should be?,Oral sildenafil citrate trial,Cavernosometry,Doppler study,eurological testing,1
9049a9ab-6e97-4eb5-8d60-8792bfb09164,An engineering student has difficulty to deliver seminar with a fear that his seniors are present despite knowing that they are supportive. He further has difficulty speaking in front of others and also avoids going to the parties. Which of the following is the most likely diagnosis?,Agoraphobia,Claustrophobia,Social phobia,Acrophobia,3
baa3650c-c059-44c1-9588-3a4e985c0384,"Antipsychotic induced ""akathisia"" is characterized by:",Rigidity,Tremor,Spasm of muscle/muscle group,Restlessness,4
a701d917-cdae-4aa8-8573-a0b4005adac1,Best therapy suited to teach daily life skill to a mentally challenged child,Cognitive Behavior therapy,Behaviour Therapy,Contingency reconstruction,Self instruction,2
ea56ce1f-ad37-447d-869c-e5ba03591486,Somnambulism is mostly seen in which age group?,Children,Adolescents,Adults,All age group,1
