srno,topic,type,question,option1,option2,option3,option4,correct_option_text,as_response,preethi ma'am response_as,mg_response,preethi ma'am response_mg,correct_option,predictions
862,Depression,Preventive,What aspect of maternal health was positively impacted by postpartum home care services provided to mothers?,Breastfeeding difficulties,Postpartum depression,Fatigue,All of the above,All of the above,Y,Y,Y,Y,4,3
863,Depression,Diagnostic,Which factor is significantly associated with increased depressive symptoms in individuals with spinal cord injury?,Increased physical activity,Optimal pain management,High levels of social support,Self-reported overweight status,Self-reported overweight status,Y,Y,Y,Y,4,2
864,Depression,Preventive,What psychosocial intervention is suggested to mitigate psychological distress following termination of pregnancy for fetal anomaly?,Cognitive therapy,Medication management,Physical therapy,Electroconvulsive therapy,Cognitive therapy,Y,Y,Y,Y,1,3
865,Depression,Diagnostic,What narrative indicators were associated with increased depressive symptoms among at-risk adolescent females engaging in meaning-making about past negative experiences?,External locus of control,Effective coping strategies,Positive self-reflection,Optimistic viewpoints,External locus of control,Y,Y,Y,Y,1,2
866,Depression,Preventive,What intervention could potentially mitigate the adverse mental health impacts experienced by individuals with severe mental health conditions during pandemics?,Complete isolation,Support hotlines only,Mandatory group therapy,Increased access to teletherapy,Increased access to teletherapy,Y,Y,Y,Y,4,2
867,Depression,Prognostic,What factor significantly increases the suicide risk in outpatients treated for substance use disorder compared to those treated for depressive disorder?,Severity of depression,Comorbidity with anxiety,Substance abuse history,Gender differences,Substance abuse history,Y,Y,Y,Y,3,1
869,Depression,Prognostic,"Among alcohol-dependent patients, what pre-treatment variable increased the likelihood of non-abstinence at the six-month follow-up?",Previous successful treatments,Lower severity of alcohol dependence,Higher degree of psychopathology,Increased social support,Higher degree of psychopathology,Y,Y,Y,Y,3,3
870,Depression,Factoid,What type of stimulation was analyzed in the meta-analysis for its efficacy in treating major depression?,Low-frequency repetitive transcranial magnetic stimulation,High-frequency transcranial magnetic stimulation,Deep brain stimulation,Electroconvulsive therapy,High-frequency transcranial magnetic stimulation,High-frequency transcranial magnetic stimulation,Ans- High-frequency transcranial magnetic stimulation,Y,Y,2,2
871,Depression,Prognostic,What trend in suicide mortality rates was observed among individuals with mental disorders compared to the general population?,Fluctuating rates in mental disorders,Increasing rates in both populations,Decreasing rates in mental disorders and stable in the general population,Stable rates in mental disorders but decreasing in the general population,Stable rates in mental disorders but decreasing in the general population,Y,Y,Y,Y,4,4
872,Depression,Diagnostic,Which psychiatric disorder was significantly associated with suicide attempts by jumping from a height?,Anxiety disorders,Mood disorders,Schizophrenia spectrum disorders,Personality disorders,Schizophrenia spectrum disorders,Y,Y,Y,Y,3,3
873,Depression,Preventive,What intervention is suggested to potentially improve subjective executive functioning in adults with epilepsy regardless of mood changes?,Cognitive Behavioral Therapy,Mindfulness Meditation,HOBSCOTCH,Psychoeducation,HOBSCOTCH,Y,Y,Y,Y,3,3
874,Depression,Prognostic,What treatment approaches showed differential improvement across depressive symptom factors for major depressive disorder?,Placebo vs. drug treatment,Psychotherapy vs. support groups,Electroconvulsive therapy vs. psychotherapy,Escitalopram and duloxetine vs. CBT,Escitalopram and duloxetine vs. CBT,Y,Y,Y,Y,4,4
875,Depression,Preventive,How might cognitive reappraisal be effectively integrated into treatments for individuals with autistic traits experiencing emotional symptoms?,Reduced emotional distress,Worsened depressive symptoms,Decreased social skills,Enhanced anxiety levels,Reduced emotional distress,Y,Y,Y,Y,1,2
876,Depression,Diagnostic,Higher levels of resilience in individuals with schizophrenia were associated with lower severity of which symptoms?,Positive symptoms,Cognitive deficits,Psychotic symptoms,Mania symptoms,Cognitive deficits,Y,Y,Y,Y,2,3
877,Depression,Preventive,Which factor is suggested to buffer the effects of minority stress on suicidal outcomes among transgender and gender non-conforming adults?,Community resilience,Family support,Education initiatives,Therapeutic interventions,Community resilience,Y,Y,Y,Y,1,1
878,Depression,Prognostic,How do chronic social adversities potentially affect the cut-off scores required to detect clinically significant symptoms of common mental disorders in perinatal women?,Lead to standard cut-off scores,Decrease cut-off scores,Increase cut-off scores,Have no effect on cut-off scores,Decrease cut-off scores,Y,Y,Y,Y,2,3
879,Depression,Prognostic,How might offspring of mothers with high maladaptive personality traits expect to experience depressive symptoms during adolescence compared to those with low maladaptive traits?,Higher levels,Lower levels,Irregular levels,No difference,Higher levels,Y,Y,Y,Y,1,4
880,Depression,Preventive,What strategies should be implemented to improve early identification and management of mental health issues among adolescents in India?,Community outreach programs,Digital health interventions,School-based programs,All of the above,All of the above,Y,Y,Y,Y,4,4
881,Depression,Preventive,Which mechanism underlying incensole acetate's antidepressant-like effects may be targeted for developing new treatments for depressive disorders?,Serotonin receptor modulation,Dopamine pathway alteration,HPA axis and neurotrophic factor expression,GABAergic transmission enhancement,HPA axis and neurotrophic factor expression,Y,Y,Y,Y,3,1
882,Depression,Diagnostic,Which psychosocial factor is associated with a higher prevalence of depression among electricity workers?,Job satisfaction,Job stability,High reward,Low reward,Low reward,Y,Y,Y,Y,4,3
883,Depression,Diagnostic,What dysfunction is linked to the negative emotional bias commonly observed in individuals with major depressive disorder?,Visual processing dysfunction,Interoception dysfunction,Auditory processing difficulties,Cognitive flexibility issues,Interoception dysfunction,Y,Y,Y,Y,2,3
884,Depression,Prognostic,Which Patient-Reported Outcomes Measurement Information System (PROMIS) score might suggest a greater likelihood of opting for surgical excision of ganglion cysts?,Anxiety,Pain Interference,Physical Function,Loneliness,Pain Interference,Y,Y,Y,Y,2,3
886,Depression,Preventive,What is a crucial support strategy to assist NICU mothers in enhancing their mother-infant bonding and mental health?,Nutritional support,Pain management,Psychological counseling,Increased visitation hours,Psychological counseling,Y,Y,Y,Y,3,3
887,Depression,Factoid,Which cognitive style is identified as being more strongly related to depressive symptoms in girls compared to boys?,Positive cognitive style,Abstract cognitive style,Negative cognitive style,Ruminative cognitive style,Negative cognitive style,Y,Y,Y,Y,3,2
888,Depression,Preventive,What comprehensive tool is recommended for monitoring side effects in patients receiving ketamine treatment for depression?,Ketamine Safety Assessment Tool,Ketamine Monitoring System,Ketamine Side Effect Tool,Ketamine Risk Assessment Tool,Ketamine Side Effect Tool,Y,Y,Y,Y,3,3
890,Depression,Diagnostic,What psychosocial factors are associated with an increased risk of suicide attempts among patients in manic states of bipolar disorder?,Age over 60,High levels of social support,Comorbid substance abuse,Unemployment,Comorbid substance abuse,Y,Y,Y,Y,3,1
891,Depression,Preventive,What intervention has shown efficacy in reducing the prevalence of metabolic syndrome among young patients receiving second-generation antipsychotics?,Omega-3 supplementation,Metformin,N-acetylcysteine,Vitamin D,Metformin,Y,Y,Y,Y,2,3
892,Depression,Diagnostic,Which gene's promoter region is implicated in the epigenetic mechanisms associated with adolescent depressive disorder and nonsuicidal self-injury?,BDNF,SLC6A4,POMC,COMT,POMC,Y,Y,Y,Y,3,1
893,Depression,Prognostic,Which factor was identified as protective against depressive symptoms among Chinese college students during the COVID-19 pandemic?,Limited social interactions,Perceived social support,Higher academic workload,Increased screen time,Perceived social support,Y,Y,Y,Y,2,4
894,Depression,Factoid,Which form of Tai Chi was shown to be more effective in reducing depression among elderly individuals?,Yoga,Aerobics,Augmented Reality Tai Chi,Traditional Tai Chi,Augmented Reality Tai Chi,Y,Ans- Traditional Tai Chi,Y,Y,3,3
896,Depression,Preventive,What intervention could potentially mitigate disordered eating attitudes among postpartum mothers with mental health symptoms?,Increased social support,Medication for depression,Cognitive behavioral therapy,Focus on maternal mental health,Focus on maternal mental health,Y,Y,Y,Y,4,2
897,Depression,Prognostic,How do changes in depressive symptoms influence the risk of experiencing a subsequent stroke?,Stable depressive symptoms have no effect on stroke risk,Improved symptoms suggest higher risk,Improvements in depressive symptoms reduce stroke risk,Worsening depressive symptoms increase stroke risk,Improvements in depressive symptoms reduce stroke risk,Y,Y,Y,Y,3,2
898,Obsessive/Compulsive Disorders,Factoid,What measurement tool showed adequate psychometric properties for assessing OCD in children and adolescents?,Obsessive Compulsive Inventory-Child Version,Children's Yale-Brown Obsessive Compulsive Scale,OCD Severity Scale,Beck Depression Inventory,Children's Yale-Brown Obsessive Compulsive Scale,Children's Yale-Brown Obsessive Compulsive Scale,Ans-Children's Yale-Brown Obsessive Compulsive Scale,Y,Y,2,2
899,Depression,Diagnostic,Which prior mental health condition significantly increases the risk of nonfatal self-injury in cancer patients?,Post-traumatic stress disorder,Bipolar disorder,Anxiety disorders,Severe psychiatric illness,Severe psychiatric illness,Y,Y,Y,Y,4,4
900,Depression,Diagnostic,What impact did family religiosity have on the mental health of bi+ individuals in relation to minority stress?,Reduced community support,Directly predicted depression,Influenced family rejection,Increased family acceptance,Influenced family rejection,Y,Y,Y,Y,3,4
901,Depression,Diagnostic,Which diagnosis was more likely to lead to the receipt of primary mental health care among inmates?,Schizophrenia,Bipolar disorder,Major depressive disorder,Anxiety disorder,Major depressive disorder,Y,Y,Y,Y,3,1
902,Depression,Preventive,Which behavioral factor should be addressed to mitigate the impact of depressive symptoms on inflammation in pregnant African American women?,Cigarette smoking,Dietary habits,Physical inactivity,Sleep duration,Cigarette smoking,Y,Y,Y,Y,1,1
903,Depression,Prognostic,How does the presence of psychiatric disorders prior to pediatric-onset immune-mediated inflammatory diseases (pIMID) influence the risk of further psychiatric issues after pIMID onset?,Predicts complete recovery,Decreases risk,Increases risk,No effect,Increases risk,Y,Y,Y,Y,3,1
905,Depression,Prognostic,How might an increase in benefit finding impact depressive symptoms in childhood cancer survivors over time?,It may reduce depressive symptoms,It may increase depressive symptoms,It may cause relapse into anxiety,It will have no effect on depressive symptoms,It may reduce depressive symptoms,Y,Y,Y,Y,1,4
906,Depression,Factoid,Which brain region exhibited reduced gamma-aminobutyric acid (GABA) levels and elevated neural variability in patients with major depressive disorder?,Striatum,Occipital Cortex,Hippocampus,Medial Prefrontal Cortex,Medial Prefrontal Cortex,Medial Prefrontal Cortex,Ans- Medial Prefrontal Cortex,Y,Y,4,4
907,Depression,Preventive,What intervention is being studied for the alleviation of depressive symptoms in patients undergoing major surgery?,Cognitive behavioral therapy,Esketamine administration,Talk therapy,Exercise programs,Esketamine administration,Y,Y,Y,Y,2,3
909,Depression,Factoid,Which enzyme's inactivation is associated with glycogen accumulation that contributes to depression-like behaviors in mice?,Glycogen synthase,Brain-type glycogen phosphorylase,Liver glycogen phosphorylase,Muscle glycogen phosphorylase,Brain-type glycogen phosphorylase,Y,Y,Y,Y,2,3
910,Depression,Diagnostic,"Which condition is indicated to increase vulnerability to psychological distress among professional dancers, particularly regarding their mental health?",Musculoskeletal injuries,Generalized joint hypermobility,Low physical fitness,High training frequency,Generalized joint hypermobility,Y,Y,Y,Y,2,1
911,Depression,Preventive,Which protective factor is associated with a reduced risk of suicide attempts among adolescents experiencing suicidal ideation?,Increased disinhibition,Higher academic performance,Enhanced victimization,Substance abuse,Higher academic performance,Y,Y,Y,Y,2,3
912,Depression,Diagnostic,"Which syndrome is characterized by elder mental health issues that includes symptoms of worry, anxiety, and cognitive problems?",Anxious/Depressed Syndrome,Somatic Complaints Syndrome,Functional Impairment Syndrome,Social Withdrawal Syndrome,Anxious/Depressed Syndrome,Y,Y,Y,Y,1,3
913,Depression,Diagnostic,Which enantiomer of ketamine is associated with longer-lasting antidepressant effects with fewer side effects?,R-ketamine,Neither has lasting effects,Both are equal,S-ketamine,R-ketamine,Y,Y,Y,Y,1,4
914,Depression,Preventive,Which type of intervention may improve mental health and reduce fear among children during the COVID-19 pandemic?,Online counseling,Individual therapy,School-based intervention,Medication management,School-based intervention,Y,Y,Y,Y,3,1
915,Depression,Preventive,Which long-acting injectable antipsychotic has shown efficacy in reducing symptoms of manic episodes in bipolar disorder?,Aripiprazole IM depot,Haloperidol,Clozapine,Quetiapine,Aripiprazole IM depot,Y,Y,Y,Y,1,4
916,Depression,Preventive,Which type of therapy was evaluated for its efficacy in reducing suicidal behaviors in borderline personality disorder patients?,Psychoanalytic therapy,Interpersonal therapy,Cognitive behavioral therapy,Dialectical behavior therapy,Dialectical behavior therapy,Y,Y,Y,Y,4,1
917,Depression,Prognostic,What impact does participation in a forest therapy camp have on the long-term depression levels of alcoholics?,It worsens depression,It significantly improves depression,It only helps if they are younger than 30,It has no effect,It significantly improves depression,Y,Y,Y,Y,2,1
918,Depression,Prognostic,"How might low serum levels of omega-3 fatty acids, particularly DHA, influence the risk of suicide in active-duty military personnel?",Increase the risk of suicide,Enhance cognitive functions,Reduce anxiety symptoms,Decrease the likelihood of PTSD,Increase the risk of suicide,Y,Y,Y,Y,1,4
920,Depression,Diagnostic,What type of psychiatric symptomatology is most commonly associated with the abuse of Coricidin HBP among adolescents?,Borderline personality disorder,Depressive symptomatology,Anxiety disorders,Bipolar disorder,Depressive symptomatology,Y,Y,Y,Y,2,4
921,Depression,Preventive,What safety measures should be considered when utilizing transcranial direct current stimulation (tDCS) for treating major depression?,Regulatory approval,Cognitive behavioral therapy,Immediate medication adjustment,Regular sleep monitoring,Regulatory approval,Y,Y,Y,Y,1,1
922,Depression,Diagnostic,What emotion dynamics are associated with altered experiences in individuals with high Hypomanic Personality Scale scores?,Enhancement of positive emotions,Decreased emotional instability,Increased emotion reactivity,Stable negative affect,Increased emotion reactivity,Y,Y,Y,Y,3,4
923,Obsessive/Compulsive Disorders,Factoid,What technology-based method was employed to classify major psychiatric disorders based on resting-state assessments?,Positron emission tomography,Functional magnetic resonance imaging,Electroencephalography,Magnetic resonance imaging,Functional magnetic resonance imaging,Functional magnetic resonance imaging,Ans- Functional magnetic resonance imaging,Y,Y,2,4
924,Depression,Preventive,Which therapeutic approach is examined for its potential to mitigate suicidal ideation in individuals with a history of suicidal behavior?,Exposure Therapy,Medication management,Mindfulness-Based Cognitive Therapy,Cognitive Behavioral Therapy,Mindfulness-Based Cognitive Therapy,Y,Y,Y,Y,3,1
925,Depression,Preventive,Which protective factor is associated with reduced psychological distress among young sexual minorities?,Employment status,Physical exercise,Social media use,Romantic involvement,Romantic involvement,Y,Y,Y,Y,4,1
926,Depression,Diagnostic,What psychological traits were identified as independent risk factors for non-suicidal self-injury in patients with first-episode major depressive disorder?,Anxiety and social withdrawal,EPQ-psychoticism and depressive symptoms,Externalizing behavior and low self-esteem,Avoidant personality and loneliness,EPQ-psychoticism and depressive symptoms,Y,Y,Y,Y,2,2
927,Depression,Prognostic,What role does subgenual cingulate activity play in predicting treatment outcomes for cognitive therapy in depression?,It has no correlation with therapeutic success,It correlates with sustained improvement,It predicts poor treatment response,It indicates a need for medication,It correlates with sustained improvement,Y,Y,Y,Y,2,2
928,Depression,Preventive,Which assessment approach is recommended to improve the identification and treatment of major depressive disorder in clinical settings?,Measurement-Based Care,Individualized Therapy,Subjective Assessment,Psychodynamic Assessment,Measurement-Based Care,Y,Y,Y,Y,1,2
929,Depression,Prognostic,How might examining neuroplasticity change the future approaches to treating depression?,By disregarding psychotherapy,By focusing solely on genetics,By enhancing emotional processing,By eliminating the need for medications,By enhancing emotional processing,Y,Y,Y,Y,3,4
930,Depression,Preventive,What paternal characteristic may help alleviate the negative effects of mothers' parenting stress and depression on marital satisfaction?,Assertiveness,Empathy,Apathy,Conflict avoidance,Empathy,Y,Y,Y,Y,2,3
931,Depression,Preventive,What type of discussions may provide greater benefits in online depression communities?,Supportive and informative,Unrelated discussions,Only informative,Only supportive,Supportive and informative,Y,Y,Y,Y,1,1
932,Depression,Diagnostic,Which biochemical metabolite ratios are significantly associated with distinguishing bipolar disorder patients with suicidal ideation from those without?,N-acetyl aspartate/creatine,Lactate/glucose,GABA/glutamate,Serotonin/dopamine,N-acetyl aspartate/creatine,Y,Y,Y,Y,1,1
933,Depression,Diagnostic,What prenatal condition is suggested to contribute to increased vulnerability to mood disorders through inflammatory and neuroendocrine pathways?,Prenatal stress,Postnatal anxiety,Childhood adversity,Parental neglect,Prenatal stress,Y,Y,Y,Y,1,3
934,Depression,Factoid,Which aspect was demonstrated by the CHRT-SR<sub>9</sub> regarding suicidal risk levels?,High internal consistency,Poor model fit,Inadequate validity analysis,Low item-total correlations,High internal consistency,Y,Y,Y,Y,1,1
936,Depression,Diagnostic,Which condition is significantly associated with poorer mother-infant bonding among women before and after childbirth?,Post-traumatic stress disorder,Generalized anxiety disorder,Bipolar disorder,Peripartum depression,Peripartum depression,Y,Y,Y,Y,4,1
937,Obsessive/Compulsive Disorders,Factoid,Which therapy demonstrated higher efficacy in treating obsessive-compulsive disorder compared to pharmacotherapy alone?,Mindfulness-based therapy,Cognitive-behavioral therapy,Exposure therapy,Cognitive-coping therapy,Cognitive-behavioral therapy,Cognitive-behavioral therapy,Ans - Cognitive-behavioral therapy,Y,Y,2,3
938,Depression,Prognostic,How might self-critical perfectionism influence daily health outcomes in patients with chronic fatigue syndrome?,Decrease Anxiety Symptoms,Enhance Sleep Quality,Improve Mood Stability,Increase Daily Fatigue and Pain,Increase Daily Fatigue and Pain,Y,Y,Y,Y,4,3
940,Depression,Prognostic,How does the presence of depressive symptoms influence the clinical progression of spinocerebellar ataxias?,It improves overall health outcomes,It correlates with worsened quality of life,It has no significant impact on functional status,It leads to faster deterioration of motor skills,It correlates with worsened quality of life,Y,Y,Y,Y,2,1
941,Depression,Factoid,What effect did tocilizumab have on depression scores in patients undergoing hematopoietic cell transplantation?,No significant change,Decreased,Increased,Completely resolved,Increased,Y,Y,Y,Y,3,3
942,Depression,Diagnostic,What is the primary factor associated with the quality of life in individuals who have attempted suicide?,Level of education,Depressive level,Employment status,Social support,Depressive level,Y,Y,Y,Y,2,2
943,Depression,Diagnostic,How is the quality of sleep correlated with depressive symptoms in fibromyalgia?,Improved sleep quality leads to increased pain,No association exists between sleep quality and depression,Decreased pain improves sleep without affecting depression,Reduced sleep quality is associated with more depressive symptoms,Reduced sleep quality is associated with more depressive symptoms,Y,Y,Y,Y,4,3
944,Depression,Preventive,What precautionary measures are suggested to reduce the risk of hypomanic/manic switch when using transcranial magnetic stimulation for mood disorders?,Monitor patient mood closely,Increase treatment frequency,Use higher stimulation intensity,Limit patient interactions,Monitor patient mood closely,Y,Y,Y,Y,1,2
945,Depression,Prognostic,What factors may influence the likelihood of developing new mental health diagnoses after experiencing cardiogenic shock?,Prior hospitalization for anxiety,Female sex,Age of myocardial infarction,Regular exercise,Female sex,Y,Y,Y,Y,2,2
946,Depression,Diagnostic,Which region of the brain exhibited lower fractional anisotropy in suicide attempters compared to non-attempters?,Hippocampus,Dorsomedial prefrontal cortex,Occipital cortex,Amygdala,Dorsomedial prefrontal cortex,Y,Y,Y,Y,2,3
947,Depression,Preventive,What strategies could enhance the integration of smartphone apps into the routine treatment of depressed patients at risk of suicide?,Training clinicians,Providing more app options,Extending treatment duration,Increasing smartphone usage,Training clinicians,Y,Y,Y,Y,1,2
948,Depression,Preventive,What resilience factor was identified as moderating the relation between perceived burdensomeness and suicide ideation?,Physical activity,Medication adherence,Self-forgiveness,Social support,Self-forgiveness,Y,Y,Y,Y,3,3
949,Depression,Diagnostic,What clinical condition may be related to the presence of rapid eye movement sleep without atonia in psychiatric patients?,Post-traumatic stress disorder,Lewy body disease,Schizophrenia,Bipolar disorder,Lewy body disease,Y,Y,Y,Y,2,1
950,Depression,Diagnostic,Which factors may contribute to the development of depression in patients with myalgic encephalomyelitis and chronic fatigue syndrome?,Genetic predisposition,Supportive social interactions,Stigma,High physical activity,Stigma,Y,Y,Y,Y,3,1
952,Depression,Prognostic,What personality dimensions are identified as potential predictors for experiencing clinically relevant depression and anxiety symptoms at the end of the lockdown among adults?,Conscientious personality dimensions,Stable personality dimensions,Dysfunctional personality dimensions,Extravagant personality dimensions,Dysfunctional personality dimensions,Y,Y,Y,Y,3,2
953,Depression,Prognostic,How do difficulties in emotion regulation relate to suicide risk among individuals with borderline personality disorder symptoms?,They lower suicide risk,They mediate the relationship with perceived burdensomeness,They have no effect on suicide risk,They solely increase emotional distress,They mediate the relationship with perceived burdensomeness,Y,Y,Y,Y,2,1
954,Depression,Factoid,What has been concluded about the effect of vitamin D supplementation on mental health in healthy adults based on the systematic review findings?,It does not provide strong evidence for improvement in mental health,It significantly increases quality of life,It eliminates anxiety symptoms,It effectively reduces depressive symptoms,It does not provide strong evidence for improvement in mental health,Y,Y,Y,Y,1,4
955,Depression,Factoid,What effect did comfort nursing have on the anxiety levels of elderly patients with lumbar vertebral compression fractures?,Decreased anxiety,Uncertain effect on anxiety,No effect on anxiety,Increased anxiety,Decreased anxiety,Y,Y,Y,Y,1,2
956,Depression,Prognostic,What is the potential impact of implementing routine screening for major depressive disorder in primary care settings for adolescents?,Improved identification and response rates,Increased depression incidence,No significant impact,Higher rate of hospitalizations,Improved identification and response rates,Y,Y,Y,Y,1,4
957,Depression,Prognostic,What is the likely impact of untreated depressive symptoms in cancer patients on their quality of life?,It decreases quality of life and increases suicide risk,It enhances treatment compliance,It has no significant effect,It improves their social interactions,It decreases quality of life and increases suicide risk,Y,Y,Y,Y,1,2
958,Depression,Preventive,What strategy could potentially minimize clinical symptoms in multiple sclerosis patients by improving autonomic nervous system balance?,Cognitive therapy,Psychotropic medication,Dietary changes,Physical exercise,Physical exercise,Y,Y,Y,Y,4,2
959,Depression,Diagnostic,Which patient characteristics are significantly associated with complex polypharmacy in individuals with bipolar disorder?,Type of depressive episode,Age at first diagnosis,History of suicide attempt,Comorbid personality disorder,History of suicide attempt,Y,Y,Y,Y,3,3
961,Depression,Preventive,What strategies could be implemented to adapt the mhGAP-IG.v2 to better address cultural and contextual needs for depression care in primary health settings?,Focus solely on referral pathways,Assessment of a wider spectrum of symptoms,Increased number of ECT sessions,Use of medication only,Assessment of a wider spectrum of symptoms,Y,Y,Y,Y,2,4
962,Depression,Prognostic,Which neurobiological mechanisms could be influenced by therapeutic options such as ketamine for managing suicidal thoughts during a depressive episode?,Enhanced social interaction,Serotonergic system modulation,Increased physical activity,Reduced academic stress,Serotonergic system modulation,Y,Y,Y,Y,2,1
963,Obsessive/Compulsive Disorders,Factoid,"In patients with early-onset Parkinson's disease, how did the obsessive-compulsive symptom levels differ between carriers of PARKIN mutations and noncarriers?",Scores were not measured,Lower scores indicate less OCS,No difference in scores,Higher scores indicate less OCS,Lower scores indicate less OCS,Y,Ans- Higher scores indicate less OCS,Y,Lower scores indicate less OCS,2,3
964,Depression,Preventive,What augmentation strategy was assessed for its efficacy in patients with treatment-resistant schizophrenia currently on clozapine?,switching to mood stabilizers,augmenting with pimozide,increasing clozapine dosage,Amplifying with SSRIs,augmenting with pimozide,Y,Y,Y,Y,2,4
965,Depression,Preventive,What role do early interventions for autism play in potentially reducing associated negative outcomes such as depression?,They only improve social skills,They have no impact,They can worsen outcomes,They help prevent negative outcomes,They help prevent negative outcomes,Y,Y,Y,Y,4,3
966,Depression,Diagnostic,What type of deficits are typically associated with melancholia in major depressive disorder?,Attention deficits,Visual impairments,Emotional instability,Auditory processing deficits,Attention deficits,Y,Y,Y,Y,1,3
967,Depression,Preventive,What approach is suggested for effectively assessing personality within a clinical environment in relation to depressive disorders?,Focusing solely on maladaptive traits,Using categorical diagnostic measures,Incorporating bipolar constructs,Performing personality assessments in isolation,Incorporating bipolar constructs,Y,Y,Y,Y,3,3
968,Depression,Diagnostic,What temperament type was identified as being correlated with anxiety and hopelessness in adolescents?,Irritable temperament,Cyclothymic temperament,Stable temperament,Hyperthymic temperament,Cyclothymic temperament,Y,Y,Y,Y,2,2
969,Depression,Factoid,Which class of compounds has been identified as having potential therapeutic effects for treating depression?,Flavonoids,Alkaloids,Steroids,Iridoids,Iridoids,Y,Y,Y,Y,4,3
970,Depression,Diagnostic,What underlying factors are significantly associated with the higher frequency of depression in patients with rheumatoid arthritis?,Autoimmune mechanisms,Dietary habits,Lifestyle choices,Genetic predisposition,Autoimmune mechanisms,Y,Y,Y,Y,1,1
971,Depression,Preventive,What methodological approach is suggested to identify common risk factors across various psychiatric diseases?,Mendelian randomization,Causal pathway analysis,Longitudinal cohort study,Qualitative interviews,Mendelian randomization,Y,Y,Y,Y,1,4
972,Anxiety,Preventive,What interventions are recommended for effectively managing anxiety and fear in dental treatments?,Exercise therapy,Mindfulness meditation,Cognitive therapy,Sedation drugs,Cognitive therapy,Cognitive therapy,Ans- Cognitive therapy,"Mindfullness meditation -A combination of CBT and Mindfullness Medication can be used for dental anxiety, sedation may have a high risk involved. For severe cases, a combined management approach may be used. ",Cognitive therapy,3,2
973,Depression,Preventive,Which protective factor is highlighted as beneficial in preventing depressive symptoms among Somali youth?,Reduced family connectedness,Increased school dropout rates,High media consumption,Empowerment and community support,Empowerment and community support,Y,Y,Y,Y,4,4
974,Depression,Factoid,Which outcome is associated with higher adherence to psychotropic medications among people living with HIV/AIDS?,Increased viral load,Lower depressive symptoms,More side effects,Reduced antiretroviral adherence,Lower depressive symptoms,Y,Y,Y,Y,2,3
975,Depression,Diagnostic,What is the relationship between the neutrophil to lymphocyte ratio and structural brain alterations in older adults with depression?,Increased N:L correlates with lower gray matter volume,N:L is unrelated to depression symptoms,N:L has no impact on brain structure,Lower N:L predicts higher gray matter volume,Increased N:L correlates with lower gray matter volume,Y,Y,Y,Y,1,3
976,Anxiety,Preventive,What therapeutic approach was specifically developed to address fear of blushing in patients with social anxiety disorders?,Exposure therapy,Mindfulness meditation,Pharmacotherapy,Cognitive behavioral therapy,Cognitive behavioral therapy,Y,Ans-  Cognitive behavioural therapy,Y,Y,4,1
977,Depression,Prognostic,How might addressing problematic internet use influence the risk of developing depressive symptoms among adolescents?,No effect on depression risk,Decrease the risk of depression,Increase the risk of depression,Worsen internet addiction,Decrease the risk of depression,Y,Y,Y,Y,2,4
978,Depression,Prognostic,How might activation of the MSDB-vSub cholinergic circuit influence the likelihood of developing depression-like behaviors?,By increasing cholinergic innervation,By reducing stress hormone levels,By enhancing hippocampal output,By causing vSub neuron hyperactivation,By causing vSub neuron hyperactivation,Y,Y,Y,Y,4,2
980,Depression,Factoid,Which antidepressant is noted for inhibiting glutamate release in rat cerebral cortex nerve terminals?,Fluoxetine,Citalopram,Bupropion,Sertraline,Bupropion,Y,Y,Y,Y,3,1
981,Depression,Preventive,What parenting behavior positively increases a child's affect in children of mothers with a history of depression?,Negative discipline,Emotional neglect,Inconsistent communication,Positive reinforcement,Positive reinforcement,Y,Y,Y,Y,4,2
982,Depression,Diagnostic,Which factor significantly affects the engagement of parents in home visitation services due to depressive symptoms?,Education level,Age of parents,Socioeconomic status,Severity of baseline symptoms,Severity of baseline symptoms,Y,Y,Y,Y,4,2
983,Depression,Preventive,What treatment has shown potential to improve mood disorders in patients suffering from small intestinal bacterial overgrowth?,Increased dietary fiber,Probiotics,Rifaximin treatment,Higher doses of antidepressants,Rifaximin treatment,Y,Y,Y,Y,3,3
984,Depression,Factoid,Which antidepressant is noted for primarily affecting the ventrolateral prefrontal cortical regions during the perception of negative emotional stimuli?,Duloxetine,Reboxetine,Fluoxetine,Citalopram,Citalopram,Y,Y,Y,Y,4,1
985,Depression,Factoid,Which NMDA receptor modulator is noted for its rapid and long-lasting antidepressant properties?,Memantine,D-cycloserine,Rapastinel,Ketamine,Rapastinel,Y,Y,Y,Y,3,2
986,Depression,Diagnostic,What biological marker might indicate a higher risk of suicidality in men with bipolar disorder?,Elevated blood pressure,High triglyceride levels,Low serum cholesterol levels,Increased cortisol levels,Low serum cholesterol levels,Y,Y,Y,Y,3,2
987,Depression,Diagnostic,Which attentional measure is notably worse in depressed subjects with a history of high lethality suicide attempts?,Stroop task,Word recall test,Visual memory analysis,Continuous Performance Test (CPT),Stroop task,Y,Y,Y,Y,1,1
988,Depression,Preventive,What is the primary psychotherapy approach evaluated for treating chronic depression?,Cognitive Behavioral Analysis System of Psychotherapy,Dialectical Behavior Therapy,Acceptance and Commitment Therapy,Interpersonal Therapy,Cognitive Behavioral Analysis System of Psychotherapy,Y,Y,Y,Y,1,4
