id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,predictions
35138557,Anxiety,Diagnostic,What aspect of visual attention was shown to be atypical in autistic children during face observation?,Indifference to facial expressions,Preference for mouth gaze,Quick orientation away,Gaze avoidance,Gaze avoidance,4,2.0
22955043,Anxiety,Preventive,What strategies can be implemented to effectively address the long-term anxiety experienced by residents following a major disaster?,Reducing access to healthcare resources,Increasing external radiation exposure,Implementing regular mental health check-ups,Limiting communication about the disaster,Implementing regular mental health check-ups,3,3.0
36186257,Anxiety,Preventive,What intervention was established to reduce anxiety among families of hospitalized COVID-19 patients?,Telemedicine consultations,Daily briefings,Family meetings,Communication team,Communication team,4,1.0
33993507,Anxiety,Preventive,What therapeutic approach has shown effectiveness in reducing anxiety and depression associated with supragastric belching?,Dietary modifications,Cognitive-behavioral therapy,Behavioral therapy,Medication management,Cognitive-behavioral therapy,2,2.0
23039942,Anxiety,Diagnostic,Which maternal personality trait is associated with a higher risk of complications during childbirth?,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Neuroticism,4,4.0
33204865,Anxiety,Factoid,What psychological effect was commonly reported by women undergoing IVF when participating in acupuncture treatment?,Improved sleeping patterns,Increased fertility,Decreased anxiety levels,Reduced psychological stress,Reduced psychological stress,4,3.0
34785531,Anxiety,Preventive,What coping strategies are important for adolescents to mitigate distress during a pandemic?,Overeating,Increased screen time,Physical activity,Social distancing,Physical activity,3,3.0
34665890,Anxiety,Factoid,What autonomic measure significantly decreased following higher doses of oral THC among participants?,Heart rate,Blood pressure,High frequency heart rate variability,Pre-ejection period,High frequency heart rate variability,3,2.0
32268841,Anxiety,Diagnostic,Which psychological trait is associated with impaired memory for emotional stimuli in individuals?,Depression,Empathy,Anxiety,Alexithymia,Alexithymia,4,1.0
23110820,Anxiety,Prognostic,How is the craving for methamphetamine expected to be influenced by negative mood states during detoxification in female users?,Temporarily reduced,Decreased,Unchanged,Increased,Increased,4,2.0
34978279,Anxiety,Prognostic,How does the incidence of insomnia compare between patients with sudden sensorineural hearing loss and those without this condition?,Higher in SSNHL patients,Higher in non-SSNHL patients,Lower in SSNHL patients,The same,Higher in SSNHL patients,1,1.0
22286854,Anxiety,Prognostic,How might heightened morning cortisol levels in IBS patients indicate potential psychosocial vulnerabilities?,Demonstrate improved emotional stability,Suggest lower stress susceptibility,Increase resilience to stress,Indicate potential for increased stress responses,Indicate potential for increased stress responses,4,4.0
34010760,Anxiety,Prognostic,How may perceived distress tolerance influence future substance use patterns in adolescents?,Have no effect over time,Act as a protective factor,Increase likelihood of substance use,Enhance craving for substances,Act as a protective factor,2,2.0
36777316,Anxiety,Prognostic,"What is a potential risk associated with the concurrent use of gabapentin, opioids, and benzodiazepines in patients with mental health conditions?",Enhanced mental clarity,Increased odds of respiratory depression,Improved pain management,Reduced anxiety levels,Increased odds of respiratory depression,2,2.0
32567103,Anxiety,Preventive,"Which therapeutic approach shows promise in preventing nightmares, thereby potentially reducing related anxiety levels?",Exposure therapy,Cognitive restructuring,Positive reinforcement therapy,Imagery rehearsal therapy,Imagery rehearsal therapy,4,3.0
35209780,Anxiety,Diagnostic,What underlying factors were identified as barriers to mental health help-seeking behaviors among adolescents in Oman?,Access to healthcare facilities,Fear and lack of family support,Cultural stigma,Age and gender,Fear and lack of family support,2,2.0
36314294,Anxiety,Preventive,Which factor is identified as a critical mechanism to cope with mental health challenges faced by anaesthetists during the COVID-19 pandemic?,Access to personal protective equipment,Increased workload,Support from family and colleagues,Job dissatisfaction,Support from family and colleagues,3,3.0
31131742,Anxiety,Preventive,What therapeutic approach has shown promise in reducing suicide risk among older adults with anxiety disorders?,Mindfulness Meditation,Exposure Therapy,Problem-Solving Therapy,Cognitive Behavioral Therapy,Problem-Solving Therapy,3,4.0
34987120,Anxiety,Factoid,What psychometric property of the Chinese version of the Work and Social Adjustment Scale was indicated to be adequate for outpatients with common mental disorders?,Convergent validity,Cultural relevance,Item overlap,Test duration,Convergent validity,1,1.0
23164260,Anxiety,Diagnostic,What therapy was reported to have a more favorable short-term standardized mean difference in treating social phobia before corrections?,Combined therapy,Cognitive therapy,Exposure therapy,Behavioral therapy,Cognitive therapy,2,3.0
35462037,Anxiety,Preventive,Which screening method is recommended for COVID-19 patients post-hospitalization to detect potential long-term complications?,Cognitive function testing,Routine blood pressure monitoring,Assessment for avascular necrosis,Sleep quality evaluation,Cognitive function testing,1,3.0
35538727,Anxiety,Diagnostic,What are some of the identified antecedents contributing to transfer anxiety in parents of children transitioning from intensive care to general wards?,Physical health issues,Past experiences,Emotional intelligence,Uncertainty,Uncertainty,4,1.0
14689626,Anxiety,Diagnostic,"What neurochemical deficiency has been hypothesized to be related to severe, central-type tinnitus?",Benzodiazepine receptor deficiency,Dopamine receptor deficiency,Norepinephrine receptor deficiency,Serotonin receptor deficiency,Benzodiazepine receptor deficiency,1,1.0
36107650,Anxiety,Prognostic,How does the conceptualization of positive affect influence the identification of deficits in individuals with Social Anxiety Disorder?,Impactful regardless of measurement type,Irrelevant to emotional responses,More effective when using holistic measures,Less effective when using qualitative measures,More effective when using holistic measures,3,1.0
22669815,Anxiety,Diagnostic,What psychosocial factor is associated with negative health and well-being outcomes among coastguards?,Combined negative effects of stress,Effort-Reward Imbalance,High levels of physical activity,Job Demand-Control Support,Combined negative effects of stress,1,2.0
32889607,Anxiety,Prognostic,How does anxiety influence the relationship between red and processed meat consumption and colorectal cancer risk?,Decreases risk entirely,Has no effect,Only affects women,Increases risk in anxious individuals,Increases risk in anxious individuals,4,2.0
34311465,Anxiety,Diagnostic,What psychological assessments correlated strongly with anxiety among patients with venous pulsatile tinnitus?,Tinnitus Severity Inventory,Hospital Anxiety and Depression Scale,Athens Insomnia Scale,Beck Depression Inventory,Hospital Anxiety and Depression Scale,2,2.0
33740638,Anxiety,Preventive,What strategy can help mitigate self-stigma and subsequently reduce depressive and anxiety symptoms among LGB individuals?,Cognitive-behavioral therapy,Regular exercise,Mindfulness training,Medication,Mindfulness training,3,3.0
33331404,Anxiety,Factoid,Which physiological response was measured in specific phobia patients when exposed to images of their phobia?,Prefrontal cortex activity,Heart rate variability,Body sway,Cortisol levels,Body sway,3,3.0
36506780,Anxiety,Diagnostic,What is one of the major psychiatric symptoms that parents of children with spinal muscular atrophy are at increased risk for?,Anxiety,Obsessive disorders,Schizophrenia,Bipolar disorder,Anxiety,1,1.0
34404611,Anxiety,Diagnostic,Which factors were significantly correlated with central sensitization in patients suffering from chronic low back pain?,Lifestyle factors,Genetic predispositions,Dietary habits,Spiritual beliefs,Lifestyle factors,1,3.0
28186381,Anxiety,Factoid,Which psychiatric condition has a strong association with hypermobile type of Ehlers-Danlos syndrome (JHS/hEDS)?,Bipolar disorder,Schizophrenia,Anxiety disorders,Post-traumatic stress disorder,Anxiety disorders,3,1.0
23312082,Anxiety,Diagnostic,What type of behavioral intervention is suggested to decrease anxiety levels in adolescent rats?,Increased cage size,Handling,Isolation,Medication,Handling,2,2.0
22039971,Anxiety,Diagnostic,What aspect of anxiety is significantly correlated with experienced sensory pain during labor?,State Anxiety,Trait Anxiety,Anxiety Sensitivity,Postpartum Anxiety,Anxiety Sensitivity,3,3.0
34375211,Anxiety,Factoid,Which hormone was identified as being marginally associated with elevated anxiety scores in adolescents?,Testosterone,Thyroxine,Insulin,Prolactin,Testosterone,1,4.0
25495066,Anxiety,Diagnostic,What type of negative thought process is suggested to potentially give rise to symptoms characteristic of generalized anxiety disorder and obsessive compulsive disorder?,Sadness,Worry,Rumination,Fear,Worry,2,3.0
36168097,Anxiety,Preventive,What intervention can be used to manage anxiety symptoms in patients undergoing chemotherapy?,Music therapy,Cognitive-behavioral therapy,Exercise,Medication,Cognitive-behavioral therapy,2,2.0
35911212,Anxiety,Preventive,How do empathic abilities affect social behavior during acute stress in patients with social anxiety disorder?,They buffer negative effects,They increase stress response,They have no impact,They worsen anxiety,They buffer negative effects,1,1.0
33970291,Anxiety,Prognostic,What condition is most likely reported among patients enrolled in the UK's first medical cannabis registry?,Obsessive-compulsive disorder,Bipolar disorder,Chronic pain,Schizophrenia,Chronic pain,3,3.0
11068140,Anxiety,Diagnostic,What factor appears to contribute to the anxiety observed in rats after excitotoxic lesions in the magnocellular nucleus basalis?,Enhanced cognitive function,Neurotransmitter imbalance,Increased cholinergic activity,Decreased serotonin levels,Neurotransmitter imbalance,2,4.0
35073805,Anxiety,Diagnostic,Which cognitive technique has been shown to reduce self-reported anxiety in imagined scenarios?,Focusing on past experiences,Increased specificity of prompts,Ignoring emotional content,Imagining negative scenarios,Increased specificity of prompts,2,3.0
34020203,Anxiety,Preventive,What evidence-based strategy might help improve the mental wellbeing of parents and carers of children with developmental and epileptic encephalopathies?,Mindfulness Training,Cognitive Behavioral Therapy,Medication,Physical Activity,Mindfulness Training,1,1.0
22437546,Anxiety,Factoid,"Among children and adolescents, which symptom was identified as a more significant predictor of self-perceived quality of life?",Behavioral symptoms,Social symptoms,Depressive symptoms,Anxiety symptoms,Depressive symptoms,3,3.0
21111024,Anxiety,Diagnostic,What abnormality in error-related negativity was observed specifically in patients with obsessive-compulsive disorder?,Reduced Ne component,Decreased error monitoring,No change in Ne component,Enhanced Ne component,Enhanced Ne component,4,1.0
35633563,Anxiety,Preventive,What can healthcare practitioners do to address unmet psychological needs in cholangiocarcinoma survivors?,Reduce waiting times,Provide personalized care,Implement group therapies,Increase screening frequency,Provide personalized care,2,3.0
27865628,Anxiety,Diagnostic,What physiological factors are suggested to contribute to anxiety in patients with autonomic dysfunctions such as PoTS and VVS?,Social anxiety,Substance use,Trauma history,Heightened awareness of bodily sensations,Heightened awareness of bodily sensations,4,4.0
34087628,Anxiety,Prognostic,What were major predictors of increased levels of psychological distress during the COVID-19 pandemic?,Work-life balance and social isolation,Financial concern and daily life effects,"Social support, economic stability",Physical health status and demographic factors,Financial concern and daily life effects,2,1.0
23356511,Anxiety,Prognostic,How might dispositional anxiety influence sexual functioning in women with anxiety disorders?,Worsen sexual functioning,Have no effect on functioning,Improve sexual communication,Enhance sexual desire,Worsen sexual functioning,1,1.0
34706456,Anxiety,Preventive,What aspect of cranial electrotherapy stimulation was shown to significantly correlate with improvements in anxiety symptoms?,Cognitive behavioral changes,Beta wave suppression,Parietal lobe activity,Theta brain wave activity,Theta brain wave activity,4,2.0
35398986,Anxiety,Prognostic,What potential long-term mental health outcome is suggested to increase among nurses during the COVID-19 outbreak?,Anxiety disorders,Bipolar disorder,Substance abuse,Chronic depression,Anxiety disorders,1,1.0
23755023,Anxiety,Diagnostic,Which neuropeptide's signaling in the bed nucleus of the stria terminalis is identified as critical for mediating anxiety-related behaviors linked to drug addiction?,Norepinephrine,Serotonin,Dopamine,Corticotropin releasing factor,Corticotropin releasing factor,4,1.0
36381413,Trauma,Diagnostic,What were the primary psychosocial factors identified as leading to suicide during the COVID-19 pandemic?,Emotional issues,Social isolation,Chronic illness,Substance use disorders,Social isolation,2,2.0
22032797,Anxiety,Preventive,What strategies can be incorporated in stress management protocols to enhance self-awareness and emotional regulation?,Medication therapy,Physical exercise,Cognitive-behavioral therapy,Interactive experiences,Interactive experiences,4,3.0
34199006,Anxiety,Preventive,What product was evaluated for improving sleep quality and reducing stress in individuals with moderate sleep disturbances?,Synthetic sleep aids,Dairy-based product with protein,High-carb evening snacks,Natural herbal supplements,Dairy-based product with protein,2,2.0
34558321,Anxiety,Preventive,What relational factor is indicated as important for reducing anxiety among Latino teen victims of dating violence?,School connectedness,Peer relationships,Familism,Social support,School connectedness,1,3.0
22033836,Anxiety,Preventive,What potential developmental risk is associated with prenatal nicotine exposure in offspring?,Higher IQ levels,Increased memory deficits,Enhanced social skills,Improved attention span,Increased memory deficits,2,2.0
21701472,Anxiety,Diagnostic,Which factor was identified as a significant indicator for the need for IV sedation among dental patients?,Duration of dental visit," ""Patient's gender""","""Patient's age""",Level of dental anxiety,Level of dental anxiety,4,3.0
36397940,Anxiety,Preventive,What type of activity has been tested as a potential treatment to reduce negative affect in individuals with borderline personality disorder?,Physical exercise,Psychoeducation,Medication,Meditation,Physical exercise,1,1.0
27612471,Anxiety,Diagnostic,What psychological effect did isolation precautions have on hospitalized patients compared to those without such precautions?,Higher satisfaction,Lower anxiety,Higher anxiety,No impact,Higher anxiety,3,1.0
23507171,Anxiety,Preventive,What counseling should postpartum women who delay resuming sexual activity be provided regarding contraception methods?,Natural family planning,Hormonal pills,Abstinence,Effective contraceptive methods,Effective contraceptive methods,4,2.0
35137495,Anxiety,Prognostic,How may chronic sleep disturbances influence systemic inflammation in older adults over time?,By increasing dietary intake,By enhancing physical activity,By reducing social support,By decreasing positive affect,By decreasing positive affect,4,4.0
28279817,Anxiety,Diagnostic,What psychological background characteristic is associated with increased risk for elevated pregnancy-specific anxiety in pregnant women?,Advanced maternal age,Anxious or depressed mood,History of preterm birth,High socioeconomic status,Anxious or depressed mood,2,2.0
33866384,Anxiety,Preventive,Which psychosocial workplace exposure is linked to poorer mental health outcomes among young workers?,Job security,Effort-reward imbalance,Job flexibility,Social support,Effort-reward imbalance,2,2.0
33524682,Anxiety,Preventive,What neuroprotective compound has been suggested to mitigate anxiogenic effects induced by lead exposure?,Serotonin,Vasopressin,BDMC,Curcumin,BDMC,3,3.0
21248277,Anxiety,Prognostic,What emotional states are predicted to impact the occurrence of delusions in individuals with schizophrenia?,Happiness and excitement,Confidence and anger,Sadness and anxiety,Calmness and joy,Sadness and anxiety,3,2.0
35606479,Anxiety,Prognostic,What potential future outcomes might a virtual CBT-based telephone coaching program improve among cancer survivors experiencing anxiety?,Higher levels of depression,Enhanced mental health and well-being,Increased fear of recurrence,Reduced social engagement,Enhanced mental health and well-being,2,2.0
29537895,Anxiety,Preventive,What type of therapy is frequently investigated for treating internalizing disorders in individuals with ASD?,Group therapy,Cognitive-behavioral therapy,Art therapy,Play therapy,Cognitive-behavioral therapy,2,2.0
38643982,Depression,Diagnostic,What factor might better differentiate clinical profiles of bipolar disorder beyond diagnostic subtype?,Gender differences,Age of onset,Family history,Lithium responsiveness,Lithium responsiveness,4,3.0
22681407,Anxiety,Prognostic,How does the initial level of negative affect impact treatment outcomes in patients undergoing opioid therapy for chronic low back pain?,Predicts reduced pain intensity,Predicts better medication adherence,Predicts higher dropout rates,Predicts improved quality of life,Predicts higher dropout rates,3,3.0
34518825,Anxiety,Prognostic,Which factors were associated with an escalation of psychological distress during the COVID-19 pandemic?,Health improvement,Financial stressors,Improved work/life balance,Increased age,Financial stressors,2,2.0
34269634,Anxiety,Diagnostic,"In psychiatric advance directives, what type of requests are more frequently documented when facilitated by peer support specialists compared to clinicians?",General treatment requests,Predominantly proscriptive,Balanced,Predominantly prescriptive,Predominantly prescriptive,4,2.0
35667641,Anxiety,Factoid,Which neuropsychiatric disorders are mentioned as being assessed through behavioral tests in rodent studies?,"Bipolar disorder, autism spectrum disorder, anxiety","Obsessive-compulsive disorder, Tourette syndrome, depression","Post-traumatic stress disorder, depression, schizophrenia","Anxiety, depression, obsessive-compulsive disorder","Anxiety, depression, obsessive-compulsive disorder",4,4.0
34628483,Anxiety,Prognostic,What correlation was observed between polygenic risk scores for schizophrenia and cognitive performance in UHR individuals?,No correlation,Negative correlation with IQ,Positive correlation with memory,Inverse correlation with processing speed,Negative correlation with IQ,2,2.0
36434908,Anxiety,Prognostic,Which demographic factor was associated with higher odds of experiencing anxiety as a long COVID symptom?,Hospitalization,Non-healthcare worker status,Younger age,Male sex,Hospitalization,1,2.0
32893458,Anxiety,Preventive,What approach can improve educators' capacity to identify early symptoms of mental illness among students?,Go-To Educator Training,Standardized testing,Increased classroom sizes,Zero tolerance policies,Go-To Educator Training,1,1.0
11195533,Anxiety,Preventive,Which psychological trait is suggested to contribute to the development of functional dysphagia under stress?,Panic disorder tendencies,High anxiety levels,Obsessive traits,Dysthymic reactions,High anxiety levels,2,1.0
24730708,Anxiety,Preventive,What pharmacological intervention may help reduce mouth fixation associated with social communication deficits in individuals with autism spectrum disorder?,Ritalin,Propranolol,Citalopram,Sertraline,Propranolol,2,3.0
21525267,Anxiety,Preventive,Which type of drug effectively prevents anxiety-like behavior associated with repeated social defeat in mice?,Propranolol,Paroxetine,Sertraline,Citalopram,Propranolol,1,1.0
34955514,Anxiety,Diagnostic,Which gene has prior research predominantly focused on regarding its association with social anxiety disorder?,Serotonin transporter,GABA receptor,Dopamine transporter,Norepinephrine transporter,Serotonin transporter,1,2.0
23055777,Anxiety,Prognostic,How does patient perception of curability influence levels of anxiety among cancer patients?,It increases anxiety levels,It has no effect,It decreases anxiety levels,It only affects depression levels,It increases anxiety levels,1,1.0
33660202,Anxiety,Diagnostic,What neurotransmitter receptor's increased expression is associated with anxiety-like behavior in the context of sleep apnea?,N-Methyl-D-Aspartate receptor,Serotonin receptor,Norepinephrine receptor,Dopamine receptor,N-Methyl-D-Aspartate receptor,1,2.0
34998257,Anxiety,Preventive,How might psychological resilience impact substance misuse during stressful events like the COVID-19 pandemic?,Increase risk of substance misuse,Have no effect on substance misuse,Worsen anxiety levels,Serve as a buffer against substance misuse,Serve as a buffer against substance misuse,4,4.0
25714563,Anxiety,Factoid,What behavioral characteristics were associated with the 3q29 microdeletion syndrome in the reported case?,Obsessive Compulsive Tendencies,Bipolar Disorder,Eating Disorder,Schizophrenia,Obsessive Compulsive Tendencies,1,2.0
34378244,Anxiety,Prognostic,What type of living environment may contribute to a reduced risk of negative emotional experiences during a crisis?,Isolated regions,Urban areas,Suburban areas,Rural areas,Rural areas,4,2.0
35818014,Anxiety,Prognostic,Which factor significantly predicts increased binge drinking among middle-aged and older adults during the COVID-19 pandemic?,Older age,Positive screen for depression,Living alone,Higher education,Positive screen for depression,2,1.0
37706034,Anxiety,Diagnostic,Which thyroid antibody is identified as a predictor of anxiety symptoms specifically in female patients with major depressive disorder?,Free thyroxine (FT4),Thyroid peroxidase antibody (A-TPO),Thyroid-stimulating hormone (TSH),Anti-thyroglobulin antibody (A-TG),Anti-thyroglobulin antibody (A-TG),4,3.0
33668655,Anxiety,Prognostic,How does fear of COVID-19 potentially influence the levels of anxiety among individuals with pre-existing health conditions?,It eliminates anxiety completely,It might reduce anxiety levels,It has no impact on anxiety,It may exacerbate anxiety levels,It may exacerbate anxiety levels,4,4.0
22011359,Anxiety,Diagnostic,What early childhood disorder is significantly associated with increased smoking behavior at age 17?,Externalizing disorders,Internalizing disorders,Learning disabilities,Sociopathic tendencies,Externalizing disorders,1,2.0
24179799,Anxiety,Preventive,What intervention showed greater increases in VLPFC activation in patients with generalized anxiety disorder?,Medication Management,Stress Management Education,Mindfulness Based Stress Reduction,Cognitive Behavioral Therapy,Mindfulness Based Stress Reduction,3,3.0
20727962,Anxiety,Diagnostic,Which brain region is implicated in the interaction between stress and the onset of psychosis in schizophrenia?,Cerebellum,Amygdala,Prefrontal cortex,Ventral hippocampus,Ventral hippocampus,4,2.0
21787073,Anxiety,Factoid,Which basic emotion was reported as being elicited by odors less frequently by participants?,Happiness,Anxiety,Disgust,Surprise,Anxiety,2,2.0
35180855,Anxiety,Prognostic,Which factor was identified as a predictor of severe drug intoxications in individuals living with HIV who participate in chemsex?,Mental health disorders,Prior addiction history,High income level,Age over 40,Mental health disorders,1,1.0
24937790,Anxiety,Prognostic,What potential outcomes might improve in patients with Taijin Kyofusho after treatment with milnacipran?,Insight and stress coping strategies,Physical health and weight,Financial stability and employment,Social support and environment,Insight and stress coping strategies,1,2.0
33462861,Anxiety,Diagnostic,What psychological traits have been shown to predict increased physiological arousal during rumination related to racial discrimination?,Happiness,Boredom,Anger,Confidence,Anger,3,3.0
32189525,Anxiety,Preventive,What factors should clinicians consider when addressing selective eating in children with anxiety/obsessive spectrum disorders?,Socioeconomic status,Family history of eating disorders,Rigidity and oral texture sensitivity,Gender differences in eating habits,Rigidity and oral texture sensitivity,3,3.0
30153346,Anxiety,Diagnostic,What underlying factor is commonly associated with the emergence of negative affective symptoms during alcohol use disorders?,Lack of social support,High trait neuroticism,Low self-esteem,Alcohol tolerance,High trait neuroticism,2,2.0
28763680,Anxiety,Factoid,Which anxiety disorder was noted for having the most prevalence of negative beliefs about the uncontrollability and danger of thoughts?,Generalized anxiety disorder,Post-traumatic stress disorder,Social anxiety disorder,Panic disorder,Generalized anxiety disorder,1,2.0
21982138,Anxiety,Preventive,Which treatment method was associated with greater reductions in anxiety and depressed mood in participants with hand pain?,Physical therapy,Acupuncture,Massage therapy,Standard treatment,Massage therapy,3,1.0
23258569,Anxiety,Diagnostic,What factor is suggested to have a minimal association with anxiety symptoms in individuals with autism spectrum disorders?,Chronological age,Social skills,Verbal IQ,Insistence on sameness,Insistence on sameness,4,1.0
35068011,Anxiety,Preventive,How can virtual reality be effectively utilized to diminish fear associated with medical interventions in pediatric patients?,By increasing medication dosages,By delaying medical procedures,By providing mental health counseling,By engaging children in virtual environments,By engaging children in virtual environments,4,1.0
34320954,Anxiety,Prognostic,What are the expected adverse outcomes for people with opioid use disorder during public health emergencies?,Heightened risk of fatal overdose,Improved social support,Enhanced access to clean supplies,Increased treatment availability,Heightened risk of fatal overdose,1,1.0
16687991,Anxiety,Preventive,What is a recommended strategy for managing co-occurring anxiety in individuals with pathological gambling?,Escitalopram treatment,Psychotherapy alone,Antipsychotic augmentation,Avoiding all medications,Escitalopram treatment,1,1.0
33658957,Anxiety,Prognostic,How might fear of COVID-19 influence aggressive behaviors in online environments during a pandemic?,Via enhanced empathy,By improving social interactions,By increasing pro-social behaviors,Through moral disengagement,Through moral disengagement,4,4.0
33567978,Anxiety,Prognostic,Which demographic factor was identified as a protective influence against depression during quarantine periods among individuals?,Older age,High education level,Being male,Living with children,Living with children,4,2.0
21491216,Anxiety,Preventive,What benefit is associated with the involvement of multiple caregivers in cognitive-behavioral therapy for anxiety in dementia patients?,Enhanced treatment documentation,Increased medication compliance,Reduction in caregiver burnout,Improved family communication,Improved family communication,4,3.0
22503436,Anxiety,Prognostic,Which specific anxiety disorder has been shown to predict the onset of alcohol use disorders in adolescents?,Post-traumatic stress disorder,Generalized anxiety disorder,Panic disorder,Social anxiety disorder,Social anxiety disorder,4,1.0
34845946,Anxiety,Diagnostic,What emotional challenges are typically faced by patients diagnosed with multi-drug-resistant tuberculosis?,Euphoria about treatment,Indifference to diagnosis,Fear of death,Complete optimism,Fear of death,3,3.0
22717171,Anxiety,Diagnostic,"Which biological factor may explain the relationship between severe anxiety disorders, depression, and cardiovascular disease risk?",Dietary habits,Genetic predispositions,Autonomic nervous system activity,HPA axis dysregulation,HPA axis dysregulation,4,1.0
34366966,Anxiety,Prognostic,How might attachment style influence the quality of romantic relationships during stressful circumstances?,Anxious attachment improves relationship quality,Attachment style is irrelevant to relationship quality,Avoidant attachment has no impact,Anxious attachment diminishes relationship quality,Anxious attachment diminishes relationship quality,4,4.0
33483341,Anxiety,Prognostic,What is a likely predictor of anxiety and depressive symptoms during the COVID-19 pandemic?,Employment stability,Cumulative adversities,Social support availability,Access to healthcare,Cumulative adversities,2,2.0
35812998,Anxiety,Factoid,Which demographic has shown an increased likelihood of receiving new stimulant prescriptions for anxiety disorders from 2010 to 2020?,Hispanic individuals,Young adults,Obese individuals,Males,Young adults,2,2.0
34383262,Anxiety,Prognostic,How does elevated food worry during the COVID-19 pandemic impact mental health outcomes such as anxiety and suicidal thoughts?,It leads to increased anxiety,It improves mental health,It has no effect on mental health,It decreases mental health issues,It leads to increased anxiety,1,1.0
33995143,Anxiety,Preventive,Which strategy is suggested to manage anxiety-augmenting thoughts triggered by health-related online searches during the COVID-19 pandemic?,Increase social interactions,Reduce repeated searches,Limit screen time,Start therapy sessions,Reduce repeated searches,2,1.0
34107278,Anxiety,Preventive,What is a potential benefit of Bixin treatment in diabetic rats concerning mental health symptoms?,Increased mechanical allodynia,Enhancement of locomotor activity,Worsening oxidative stress,Reduction in depressive and anxious-like behaviors,Reduction in depressive and anxious-like behaviors,4,4.0
34062937,Anxiety,Preventive,Which dietary fiber is suggested to reduce anxiety symptoms in healthy adults?,Psyllium Husk,Chia Seeds,Oat Î²-Glucan,Wheat Bran,Oat Î²-Glucan,3,2.0
34729435,Anxiety,Preventive,Which natural remedy is suggested as a potential therapeutic option to mitigate anxiety and depression symptoms?,Ginseng,Palm grass,Lavender,Chamomile,Lavender,3,3.0
34097936,Anxiety,Diagnostic,What transdiagnostic dimension is associated with poorer threat extinction learning in individuals experiencing uncertainty?,Social anxiety,Intolerance of uncertainty,Post-traumatic avoidance,Fear of change,Intolerance of uncertainty,2,2.0
21543216,Anxiety,Preventive,What dietary intervention during pregnancy and lactation may help mitigate postpartum anxiety in mothers experiencing low n-3 fatty acid levels?,Supplementation with omega-6 fatty acids,Fish oil supplementation,Avoidance of polyunsaturated fatty acids,Increased intake of arachidonic acid,Fish oil supplementation,2,2.0
22005038,Depression,Diagnostic,Which demographic factor is independently correlated with lower mental health quality of life scores in poststroke patients?,Being non-Hispanic black,Having a high income,Being older than 65,Being married,Being non-Hispanic black,1,3.0
35949051,Anxiety,Prognostic,How might the psychological trauma from orbital exenteration influence long-term mental health outcomes?,Decrease in depressive symptoms,Increased likelihood of anxiety disorders,No impact on mental health,Improved quality of life,Increased likelihood of anxiety disorders,2,2.0
32701048,Trauma,Diagnostic,What types of childhood trauma are associated with an earlier age of onset for schizophrenia?,All types except physical abuse,Only physical abuse,Neglect as the only factor,Emotional and sexual abuse,Emotional and sexual abuse,4,1.0
34846381,Anxiety,Preventive,Which factor was associated with increased negative mental health outcomes among young adults during the COVID-19 pandemic?,High educational attainment,Having no adverse childhood experiences,Essential worker status,Living in urban areas,Essential worker status,3,3.0
22034454,Trauma,Diagnostic,What mechanism is suggested to aid in maintaining homeostasis in response to sudden stressors?,Social support mobilization,Voluntary coping,Involuntary coping,Psychological resilience,Psychological resilience,4,4.0
35575429,Anxiety,Diagnostic,Which symptoms are most closely associated with lower levels of exercise self-efficacy in patients with chronic obstructive pulmonary disease and chronic heart failure?,Mild anxiety and depression,Lack of social support,Positive health status and functional capacity,"Severe dyspnea, fatigue, and pain","Severe dyspnea, fatigue, and pain",4,4.0
34808365,Anxiety,Prognostic,How does post-weaning social isolation affect long-term functional connectivity and behavioral outcomes in mice?,Behavior improves with resocialization,Behavior declines after resocialization,Functional connectivity remains impaired,No effects are observed,Functional connectivity remains impaired,3,3.0
34562531,Anxiety,Diagnostic,What hormonal change is observed in emotional eaters in response to acute stress during the Maastricht Acute Stress Task?,Increase in cortisol,Decrease in adrenaline,Increase in insulin,Decrease in serotonin,Increase in cortisol,1,1.0
36201896,Anxiety,Preventive,Which psychiatric disorder was most frequently presented in COVID-19 patients needing psychiatric consultation?,Generalized anxiety disorder,Insomnia,Delirium,Panic disorder,Insomnia,2,3.0
23219969,Anxiety,Factoid,What is the effect of kisspeptin-13 on anxiety behavior in rats?,No effect on anxiety,Increases anxiety,Decreases anxiety,Improves locomotor activity,Increases anxiety,2,3.0
34948696,Anxiety,Prognostic,How might the interplay between burnout and anxiety impact the mental health of healthcare workers during pandemics?,Mitigate anxiety symptoms,Decrease psychological well-being,Reduce emotional resilience,Increase stress,Decrease psychological well-being,2,2.0
22325628,Anxiety,Preventive,What element was emphasized as crucial for the acceptability of mental health screening among patients in addiction treatment?,Accessibility to treatment,Therapeutic rapport with practitioners,Cost of screening,Duration of treatment,Therapeutic rapport with practitioners,2,2.0
25259673,Anxiety,Factoid,What does the Overall Anxiety Severity and Impairment Scale (OASIS) primarily measure?,Social interactions,Severity of anxiety symptoms,Physical health status,Medication side effects,Severity of anxiety symptoms,2,1.0
35869544,Anxiety,Prognostic,What factors were identified as increasing the incidence of delirium in patients with severe mental illness?,Lower medication adherence and physical activity,Younger age and fewer comorbidities,Higher education and social support,Older age and more physical comorbidities,Older age and more physical comorbidities,4,1.0
